검색어,표시이름,주소,위도,경도,전화번호,카테고리
서울시 농업기술센터,서울특별시 농업기술센터,서울 서초구 내곡동 1-774,37.46569942,127.089786,02-459-8005,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
서울시 농업기술센터,서울특별시 농업기술센터 스마트농장형 치유농업교육장,서울 서초구 내곡동 1-883,37.46493908,127.0884287,,"서비스,산업 > 농업"
서울시 농업기술센터,대동 KIRO 로보틱스센터,서울 서초구 서초동 1422-1,37.48334605,127.0229069,,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
(사)텃밭보급소,텃밭보급소,서울 은평구 녹번동 48-5,37.60110012,126.935146,02-324-8180,"사회,공공기관 > 단체,협회 > 시민단체"
(사)텃밭보급소,광명텃밭보급소,경기 광명시 옥길동 70-5,37.47316698,126.840239,,"서비스,산업 > 농업"
(사)텃밭보급소,사단법인 텃밭보급소,서울 은평구 녹번동 48-5,37.60110012,126.935146,,"교육,학문 > 교육단체"
부산광역시 농업기술센터,부산광역시 농업기술센터,부산 강서구 대저1동 2426-2,35.2132661,128.9866578,051-972-0491,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
부산광역시 농업기술센터,기장군농업기술센터,부산 기장군 기장읍 만화리 333-28,35.25261404,129.1950196,051-709-5304,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
부산광역시 농업기술센터,부산시농업기술센터 대저2지소,부산 강서구 대저2동 2011-3,35.17855047,128.9564846,,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
부산귀농운동본부,부산귀농운동본부,부산 동래구 사직동 157-44,35.19890528,129.0749494,051-462-7333,"사회,공공기관 > 단체,협회"
부산도시농업협동조합,명지농협 국제신도시지점,부산 강서구 명지동 3412-6,35.09773868,128.9196205,051-201-0970,"금융,보험 > 금융서비스 > 은행 > 농축협"
부산도시농업협동조합,양산기장축산농협 정관신도시지점,부산 기장군 정관읍 달산리 1221-3,35.32085717,129.1894781,051-711-0082,"금융,보험 > 금융서비스 > 은행 > 농축협"
인천 농업기술센터,인천광역시 농업기술센터,인천 계양구 서운동 207-1,37.53408708,126.7446408,032-427-5959,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
인천 농업기술센터,강화군농업기술센터,인천 강화군 불은면 삼성리 1027-42,37.7040039,126.4352806,032-930-4114,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
인천 농업기술센터,옹진군농업기술센터,인천 중구 신흥동3가 7-215,37.46014925,126.6320419,032-899-3271,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
인천 도시농업네트워크,인천도시농업네트워크,인천 남동구 구월동 1186-3,37.44636153,126.7080307,032-201-4549,"사회,공공기관 > 단체,협회 > 시민단체"
대전 농업기술센터,대전광역시 농업기술센터,대전 유성구 교촌동 567,36.30791127,127.3063053,042-270-6914,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
대전 농업기술센터,대전시농업기술센터 케어팜 도시정원,대전 유성구 교촌동 413-2,36.30884558,127.3074447,,"가정,생활 > 주말농장"
대전 농업기술센터,충남대학교 농업과학기술센터,대전 유성구 어은동 48,36.36918539,127.35353,,"교육,학문 > 학교부속시설"
세종 농업기술센터,세종특별자치시 농업기술센터,세종특별자치시 연서면 쌍전리 16,36.57264179,127.2832569,044-301-2500,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
세종 농업기술센터,농기계임대사업소 중부분점,세종특별자치시 연동면 명학리 737,36.5354375,127.3453161,044-301-2642,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
세종 농업기술센터,세종특별자치시 농기계임대사업소 본점,세종특별자치시 연서면 쌍전리 667,36.57321084,127.2819361,044-301-2525,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
한국사이버원예대학,한국사이버원예대학 꽃숲치유팜,경기 과천시 과천동 498-1,37.45900263,126.9910482,02-507-1100,"서비스,산업 > 축산업 > 농장,목장"
한국사이버원예대학,한국사이버원예대학 부설도시농업지원센터,경기 과천시 과천동 365-9,37.45297698,127.001736,02-507-1100,"교육,학문 > 직업전문교육"
포천시농업기술센터,포천시농업기술센터 본소,경기 포천시 신북면 기지리 647-1,37.92332042,127.2260989,031-538-3753,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
포천시농업기술센터,포천시농업기술센터 유용미생물배양센터,경기 포천시 신북면 기지리 647-1,37.92329511,127.2252061,031-538-3844,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
포천시농업기술센터,포천시농업기술센터 창수농업인상담소,경기 포천시 창수면 주원리 251-4,37.99152862,127.1886499,,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
광명텃밭보급소,광명텃밭보급소,경기 광명시 옥길동 70-5,37.47316698,126.840239,,"서비스,산업 > 농업"
화성 농업기술센터,화성시농업기술센터,경기 화성시 장안면 독정리 1294,37.07639758,126.8728219,031-5189-3605,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
화성 농업기술센터,경기도농업기술원,경기 화성시 기산동 274,37.22247021,127.0428634,031-120,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
화성 농업기술센터,경기도농업기술원 본원,경기 화성시 기산동 315-14,37.22243503,127.0429648,031-8008-9200,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
수원 농업기술센터,수원시농업기술센터 농업기술과,경기 수원시 권선구 오목천동 40,37.25012445,126.9631647,031-228-2554,"사회,공공기관 > 행정기관부속시설"
수원 농업기술센터,수원시농업기술센터,경기 수원시 권선구 오목천동 40,37.25012355,126.9631658,031-228-2554,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
수원 농업기술센터,수원시농업기술센터 생명산업과,경기 수원시 권선구 권선동 1229,37.25505136,127.03047,031-228-3309,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
청주시농업기술센터,청주시농업기술센터,충북 청주시 상당구 남일면 효촌리 294,36.5881164,127.5048172,043-201-3811,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
청주시농업기술센터,청주시농업기술센터 농산물가공기술지원관,충북 청주시 상당구 남일면 효촌리 297,36.58837197,127.5038355,,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
청주시농업기술센터,청원군농업기술센터 농심관,충북 청주시 상당구 남일면 효촌리 92-2,36.58813347,127.5048307,,"사회,공공기관 > 단체,협회"
익산시 농업기술센터,익산시농업기술센터,전북특별자치도 익산시 함열읍 다송리 721-36,36.04056034,126.9584431,1577-0072,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
익산시 농업기술센터,익산시농업기술센터 농산과,전북특별자치도 익산시 함열읍 다송리 721-36,36.04015304,126.9586098,,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
익산시 농업기술센터,한국농업기술진흥원 ICT검인증센터,전북특별자치도 익산시 목천동 65-11,35.93494804,126.9277796,,"서비스,산업 > 농업"
카톨릭상지대학교,가톨릭상지대학교,경북 안동시 율세동 산 104,36.56942809,128.7371098,054-851-3000,"교육,학문 > 학교 > 전문대학"
카톨릭상지대학교,가톨릭상지대학교 예지관,경북 안동시 율세동 393-2,36.5680974,128.7357407,,"교육,학문 > 학교부속시설"
카톨릭상지대학교,가톨릭상지대학교 아녜스관,경북 안동시 율세동 380,36.57016359,128.7359165,,"교육,학문 > 학교부속시설"
시흥시 농업기술센터,시흥시농업기술센터,경기 시흥시 하중동 271,37.40066006,126.8083994,031-310-6202,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
시흥시 농업기술센터,시흥시농업기술센터 천문관,경기 시흥시 하중동 270-3,37.40062053,126.8084717,031-310-6184,"여행 > 관광,명소 > 천문대"
(사)전국도시농업시민협의회,전국도시농업시민협의회,서울 서초구 방배동 935-12,37.48579885,126.993736,02-6204-5629,"사회,공공기관 > 단체,협회 > 시민단체"
김포시 농업기술센터,김포시농업기술센터,경기 김포시 월곶면 갈산리 536-15,37.69478633,126.5560316,031-5186-4255,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
김포시 농업기술센터,인천광역시 농업기술센터,인천 계양구 서운동 207-1,37.53408708,126.7446408,032-427-5959,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
김포시 농업기술센터,인천광역시 농업기술센터 인희재,인천 계양구 서운동 207-1,37.53385359,126.744998,032-440-6914,"교육,학문 > 교육단체 > 체험학습장"
경기도농업기술원,경기도농업기술원,경기 화성시 기산동 274,37.22247021,127.0428634,031-120,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
경기도농업기술원,경기도농업기술원 본원,경기 화성시 기산동 315-14,37.22243503,127.0429648,031-8008-9200,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
경기도농업기술원,경기도농업기술원 치유농업센터,경기 화성시 기산동 274,37.22178072,127.0433678,,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
양주시 농업기술센터,양주시농업기술센터,경기 양주시 광적면 광석리 278,37.82243027,126.9740924,031-8082-6104,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
손수레,손수레,대전 유성구 덕진동 46-2,36.42016926,127.377306,070-8899-3311,"가정,생활 > 주말농장"
대구가톨릭대학교,대구가톨릭대학교 유스티노캠퍼스,대구 중구 남산동 219,35.8621193,128.5877502,053-660-5100,"교육,학문 > 학교 > 대학교"
대구가톨릭대학교,대구가톨릭대학교 루가캠퍼스,대구 남구 대명동 332-1,35.84398406,128.565545,053-650-4455,"교육,학문 > 학교 > 대학교"
대구가톨릭대학교,대구가톨릭대학교 효성캠퍼스,경북 경산시 하양읍 금락리 산 35,35.91124375,128.8079076,053-850-3114,"교육,학문 > 학교 > 대학교"
전남 농업기술원,전라남도농업기술원,전남 나주시 산포면 등수리 49-4,35.02298721,126.8320146,061-330-2600,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
전남 농업기술원,전라남도농업기술원 교육관,전남 나주시 산포면 등수리 49-3,35.02367286,126.8324471,,"사회,공공기관 > 행정기관 > 행정기관관련기타"
전남 농업기술원,전라남도농업기술원 원예연구소,전남 나주시 산포면 산제리 206-7,35.02308036,126.8322346,,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
김해시 농업기술센터,김해시농업기술센터,경남 김해시 전하동 900,35.21404278,128.8706219,055-350-4011,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
김해시 농업기술센터,부산광역시 농업기술센터,부산 강서구 대저1동 2426-2,35.2132661,128.9866578,051-972-0491,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
김해시 농업기술센터,부산시농업기술센터 대저2지소,부산 강서구 대저2동 2011-3,35.17855047,128.9564846,,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
창원시 농업기술센터,창원시농업기술센터,경남 창원시 의창구 명서동 211,35.23898946,128.6466604,055-225-5401,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
창원시 농업기술센터,창원농업기술센터 진해기술지원과,경남 창원시 진해구 성내동 205,35.11399798,128.7542272,055-225-5671,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
창원시 농업기술센터,창원농업기술센터 도시농업과,경남 창원시 진해구 성내동 205,35.11402911,128.7543178,055-225-5561,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
파주시 농업기술센터,파주시농업기술센터,경기 파주시 아동동 91-6,37.76397257,126.7955359,031-940-4564,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
파주시 농업기술센터,파주시농기계임대사업소 파주본소,경기 파주시 월롱면 영태리 379-2,37.76515582,126.7962227,031-940-4505,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
성남시 농업기술센터,성남시농업기술센터,경기 성남시 수정구 고등동 378-1,37.4287995,127.104859,031-729-2601,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
성남시 농업기술센터,서울특별시 농업기술센터,서울 서초구 내곡동 1-774,37.46569942,127.089786,02-459-8005,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
성남시 농업기술센터,서울특별시 농업기술센터 스마트농장형 치유농업교육장,서울 서초구 내곡동 1-883,37.46493908,127.0884287,,"서비스,산업 > 농업"
수원 팝그린,팝그린,경기 수원시 장안구 영화동 308-1,37.29128193,127.0119092,031-223-3186,"서비스,산업 > 농업"
수원 팝그린,팝그린광교농장,경기 수원시 장안구 하광교동 263,37.31149387,127.0244091,031-223-3186,"서비스,산업 > 농업"
고양시 농업기술센터,고양시 농업기술센터,경기 고양시 덕양구 원흥동 471-10,37.64977628,126.8700862,031-909-9000,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
달성군 농업기술센터,달성군 농업기술센터,대구 달성군 옥포읍 교항리 2521-7,35.78210871,128.4468757,053-668-3211,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
달성군 농업기술센터,고령군농업기술센터 성산분소,경북 고령군 성산면 기족리 698,35.74861057,128.3539573,054-956-1270,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
용인시 농업기술센터,용인시농업기술센터,경기 용인시 처인구 원삼면 사암리 858-1,37.17290817,127.2988521,031-6193-1073,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
용인시 농업기술센터,용인시농업기술센터 원삼상담소,경기 용인시 처인구 원삼면 고당리 88-1,37.1665897,127.3132647,031-6193-1046,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
안성시 농업기술센터,안성시농업기술센터,경기 안성시 보개면 불현리 189-2,37.02379423,127.2866132,031-678-3050,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
안성시 농업기술센터,안성시 농기계임대사업소 서부분소,경기 안성시 양성면 덕봉리 88-35,37.04893179,127.1998884,031-678-0711,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
안성시 농업기술센터,안성시농업기술센터 농기계임대사업소 동부분소,경기 안성시 죽산면 두현리 456-6,37.08079265,127.4019946,031-678-3036,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
안산시 농업기술센터,안산시농업기술센터,경기 안산시 상록구 사동 1584,37.30060835,126.844135,031-481-2324,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
안산시 농업기술센터,안산시농업기술센터 대부영농상담소,경기 안산시 단원구 대부동동 1253-1,37.24900562,126.5909673,,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
당진시 농업기술센터,당진시농업기술센터,충남 당진시 원당동 486,36.91387509,126.6496997,041-355-5959,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
당진시 농업기술센터,당진시농업기술센터 북부지소,충남 당진시 석문면 삼봉리 1124-3,37.00748422,126.5309383,041-360-6611,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
당진시 농업기술센터,당진시농업기술센터 중부농기계임대사업장,충남 당진시 신평면 상오리 1005,36.87480035,126.755721,,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
기장군 농업기술센터,기장군농업기술센터,부산 기장군 기장읍 만화리 333-28,35.25261404,129.1950196,051-709-5304,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
대구시 농업기술센터,경상북도농업기술원,대구 북구 동호동 189,35.95771355,128.5609903,053-320-0200,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
대구시 농업기술센터,대구광역시농업기술센터,대구 동구 방촌동 1050-30,35.87990286,128.660614,053-803-7610,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
