상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800646930,마마스,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,51,강원특별자치도,51130,원주시,51130635,봉산동,5113011300,봉산동,5.11E+18,1,대지,931,20,강원특별자치도 원주시 봉산동 931-20,5.11E+11,강원특별자치도 원주시 봉산로,90,,4.21E+24,,강원특별자치도 원주시 봉산로 90,220950,26330,,1,,127.9639089,37.34501618
MA010120220800841864,우지조경,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,51,강원특별자치도,51230,삼척시,51230530,교동,5123010900,우지동,5.12E+18,1,대지,70,,강원특별자치도 삼척시 우지동 70,5.12E+11,강원특별자치도 삼척시 우지길,122,18,4.22E+24,,강원특별자치도 삼척시 우지길 122-18,245930,25908,,,,129.1495469,37.46225138
MA010120220800822007,제이케이앤파트너즈주,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,51,강원특별자치도,51730,횡성군,51730380,강림면,5173038023,강림면,5.17E+18,1,대지,1716,,강원특별자치도 횡성군 강림면 월현리 1716,5.17E+11,강원특별자치도 횡성군 강림면 월현뜨래꽃길,62,,4.27E+24,,강원특별자치도 횡성군 강림면 월현뜨래꽃길 62,225882,25272,,,,128.1705371,37.34772896
MA010120220802491317,그린때때,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,51,강원특별자치도,51110,춘천시,51110640,효자3동,5111011200,효자동,5.11E+18,1,대지,604,4,강원특별자치도 춘천시 효자동 604-4,5.11E+11,강원특별자치도 춘천시 서부대성로,169,1,4.21E+24,일부분,강원특별자치도 춘천시 서부대성로 169-1,200947,24294,,3,,127.7378763,37.87589875
MA010120220802865590,낙원씨앗,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,51,강원특별자치도,51230,삼척시,51230340,미로면,5123034021,미로면,5.12E+18,1,대지,68,1,강원특별자치도 삼척시 미로면 무사리 68-1,5.12E+11,강원특별자치도 삼척시 미로면 무사길,222,130,4.22E+24,,강원특별자치도 삼척시 미로면 무사길 222-130,245821,25904,,,,129.1238449,37.42298875
MA010120220802934076,한성,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,51,강원특별자치도,51130,원주시,51130660,무실동,5113011500,무실동,5.11E+18,1,대지,1661,4,강원특별자치도 원주시 무실동 1661-4,5.11E+11,강원특별자치도 원주시 만대로,154,,4.21E+24,,강원특별자치도 원주시 만대로 154,220150,26385,,,,127.9213013,37.33439053
MA010120220803108953,프롬애플&프롬멜로우,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,51,강원특별자치도,51210,속초시,51210560,교동,5121010600,교동,5.12E+18,1,대지,655,62,강원특별자치도 속초시 교동 655-62,5.12E+11,강원특별자치도 속초시 교동로,38,,4.22E+24,,강원특별자치도 속초시 교동로 38,217803,24839,,1,,128.5787825,38.20267425
MA010120220803265329,채송화꽃집,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,51,강원특별자치도,51130,원주시,51130380,판부면,5113038022,판부면,5.11E+18,1,대지,445,49,강원특별자치도 원주시 판부면 서곡리 445-49,5.11E+11,강원특별자치도 원주시 판부면 서곡널다리길,6,,4.21E+24,,강원특별자치도 원주시 판부면 서곡널다리길 6,220912,26399,,,,127.9370571,37.32287814
MA010120220804141983,루아플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,51,강원특별자치도,51130,원주시,51130550,단구동,5113010700,단구동,5.11E+18,1,대지,1459,19,강원특별자치도 원주시 단구동 1459-19,5.11E+11,강원특별자치도 원주시 늘품로,109,,4.21E+24,,강원특별자치도 원주시 늘품로 109,220943,26449,,102,,127.9548912,37.3289074
MA010120220804210651,함께하는꽃나눔춘천시니어클럽,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,51,강원특별자치도,51110,춘천시,51110570,근화동,5111011700,근화동,5.11E+18,1,대지,796,33,강원특별자치도 춘천시 근화동 796-33,5.11E+11,강원특별자치도 춘천시 당간지주길,77,,4.21E+24,,강원특별자치도 춘천시 당간지주길 77,200931,24241,,,,127.7239002,37.89257163
