상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800024346,남영농원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41135,성남시 분당구,41135545,정자동,4113510300,정자동,4.11E+18,1,대지,134,10,경기도 성남시 분당구 정자동 134-10,4.11E+11,경기도 성남시 분당구 내정로17번길,7,,4.11E+24,,경기도 성남시 분당구 내정로17번길 7,463834,13612,,,,127.11392,37.36154786
MA010120220800016419,로코코,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41550,안성시,41550340,미양면,4155034030,미양면,4.16E+18,1,대지,41,,경기도 안성시 미양면 진촌리 41,4.16E+11,경기도 안성시 미양면 미양로,242,,4.16E+24,,경기도 안성시 미양면 미양로 242,456841,17602,,,,127.2019715,36.96952514
MA010120220800036353,피가로,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41465,용인시 수지구,41465510,풍덕천1동,4146510100,풍덕천동,4.15E+18,1,대지,694,,경기도 용인시 수지구 풍덕천동 694,4.15E+11,경기도 용인시 수지구 수풍로23번길,25,,4.15E+24,건영,경기도 용인시 수지구 수풍로23번길 25,448762,16818,,1,,127.0868673,37.32667395
MA010120220800046275,수위플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41463,용인시 기흥구,41463577,동백3동,4146311600,중동,4.15E+18,1,대지,1111,5,경기도 용인시 기흥구 중동 1111-5,4.15E+11,경기도 용인시 기흥구 동백죽전대로527번길,100,39,4.15E+24,,경기도 용인시 기흥구 동백죽전대로527번길 100-39,446916,16987,,,,127.1413844,37.28341673
MA010120220800049922,바움앤블룸,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41135,성남시 분당구,41135655,삼평동,4113510900,삼평동,4.11E+18,1,대지,740,,경기도 성남시 분당구 삼평동 740,4.11E+11,경기도 성남시 분당구 동판교로177번길,25,,4.11E+24,판교호반써밋플레이스,경기도 성남시 분당구 동판교로177번길 25,463400,13525,,1,,127.1135676,37.39731886
MA010120220800044411,보태니컬플랜,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41281,고양시 덕양구,41281650,행신2동,4128112800,행신동,4.13E+18,1,대지,722,7,경기도 고양시 덕양구 행신동 722-7,4.13E+11,경기도 고양시 덕양구 무원로36번길,31,,4.13E+24,,경기도 고양시 덕양구 무원로36번길 31,412825,10524,,,,126.8335788,37.61638949
MA010120220800079842,디어가든,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41570,김포시,41570525,장기본동,4157010400,장기동,4.16E+18,1,대지,1899,6,경기도 김포시 장기동 1899-6,4.16E+11,경기도 김포시 김포한강1로97번길,10,17,4.16E+24,상가,경기도 김포시 김포한강1로97번길 10-17,415060,10080,,1,,126.6716515,37.64799885
MA010120220800082783,유스풀몰,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41271,안산시 상록구,41271570,부곡동,4127110700,부곡동,4.13E+18,1,대지,641,6,경기도 안산시 상록구 부곡동 641-6,4.13E+11,경기도 안산시 상록구 정재로4길,1,,4.13E+24,,경기도 안산시 상록구 정재로4길 1,426820,15304,,,,126.8650556,37.33326948
MA010120220800087163,플로인,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41281,고양시 덕양구,41281530,흥도동,4128110400,원흥동,4.13E+18,1,대지,652,5,경기도 고양시 덕양구 원흥동 652-5,4.13E+11,경기도 고양시 덕양구 서삼릉1길,22,7,4.13E+24,,경기도 고양시 덕양구 서삼릉1길 22-7,412040,10559,,1,,126.8759913,37.65375146
MA010120220800085791,라띠르플로라,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41360,남양주시,41360510,호평동,4136010100,호평동,4.14E+18,1,대지,626,3,경기도 남양주시 호평동 626-3,4.14E+11,경기도 남양주시 늘을1로16번길,9,11,4.14E+24,,경기도 남양주시 늘을1로16번길 9-11,472120,12149,,,,127.2408911,37.65433652
MA010120220800093956,아이엠로사,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41360,남양주시,41360262,오남읍,4136026221,오남읍,4.14E+18,1,대지,356,,경기도 남양주시 오남읍 양지리 356,4.14E+11,경기도 남양주시 오남읍 경복대로,60,,4.14E+24,,경기도 남양주시 오남읍 경복대로 60,472881,12036,,1,,127.1977925,37.70916002
