상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800110261,어쩌다꽃,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,47,경상북도,47190,구미시,47190535,원평동,4719010100,원평동,4.72E+18,1,대지,1026,13,경상북도 구미시 원평동 1026-13,4.72E+11,경상북도 구미시 금오시장로3길,12,21,4.72E+24,,경상북도 구미시 금오시장로3길 12-21,730924,39227,,,,128.3402038,36.12703974
MA010120220800688757,안화,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,47,경상북도,47113,포항시 북구,47113520,중앙동,4711310800,덕수동,4.71E+18,1,대지,49,34,경상북도 포항시 북구 덕수동 49-34,4.71E+11,경상북도 포항시 북구 중앙로,370,3,4.71E+24,,경상북도 포항시 북구 중앙로 370-3,791080,37726,,,,129.3651029,36.04572763
MA010120220800776694,흥진조경,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,47,경상북도,47170,안동시,47170430,녹전면,4717043021,녹전면,4.72E+18,1,대지,486,,경상북도 안동시 녹전면 신평리 486,4.72E+11,경상북도 안동시 녹전면 문평길,16,,4.72E+24,,경상북도 안동시 녹전면 문평길 16,760922,36601,,,,128.7819093,36.75960455
MA010120220800838430,로이캔Flower&Deco,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,47,경상북도,47150,김천시,47150640,율곡동,4715012000,율곡동,4.72E+18,1,대지,40,,경상북도 김천시 율곡동 40,4.72E+11,경상북도 김천시 해오름1로1길,6,3,4.72E+24,,경상북도 김천시 해오름1로1길 6-3,740220,39660,,,,128.1751129,36.121528
MA010120220800826163,꽃안애,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,47,경상북도,47290,경산시,47290541,서부1동,4729010700,옥곡동,4.73E+18,1,대지,812,8,경상북도 경산시 옥곡동 812-8,4.73E+11,경상북도 경산시 경산로16길,11,,4.73E+24,옥곡하이츠,경상북도 경산시 경산로16길 11,712080,38686,,1,,128.7322545,35.81653469
MA010120220800931899,정다운꽃집,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,47,경상북도,47130,경주시,47130621,황성동,4713012400,황성동,4.71E+18,1,대지,928,25,경상북도 경주시 황성동 928-25,4.71E+11,경상북도 경주시 용담로104번길,7,,4.71E+24,,경상북도 경주시 용담로104번길 7,780955,38082,,,,129.2106254,35.86498392
MA010120220800927499,모그플랜트,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,47,경상북도,47190,구미시,47190535,원평동,4719010100,원평동,4.72E+18,1,대지,1033,6,경상북도 구미시 원평동 1033-6,4.72E+11,경상북도 구미시 금오시장로,24,,4.72E+24,마린,경상북도 구미시 금오시장로 24,730924,39229,,1,,128.3417195,36.12668033
MA010120220800909153,소백산야생화나무농원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,47,경상북도,47210,영주시,47210630,가흥2동,4721010900,상줄동,4.72E+18,1,대지,129,10,경상북도 영주시 상줄동 129-10,4.72E+11,경상북도 영주시 필두길,32,1,4.72E+24,,경상북도 영주시 필두길 32-1,750022,36060,,,,128.5907568,36.83200794
MA010120220801077190,효원묘목,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,47,경상북도,47170,안동시,47170520,명륜동,4717013100,상아동,4.72E+18,1,대지,264,7,경상북도 안동시 상아동 264-7,4.72E+11,경상북도 안동시 퇴계로,412,,4.72E+24,,경상북도 안동시 퇴계로 412,760130,36679,,,,128.7429499,36.59045833
MA010120220801077904,허씨꽃집,,G2,소매,G219,식물 소매,G21901,꽃집,G46204,화훼류 및 식물 도매업,47,경상북도,47840,성주군,47840360,대가면,4784036032,대가면,4.78E+18,1,대지,841,,경상북도 성주군 대가면 용흥리 841,4.78E+11,경상북도 성주군 대가면 용흥3길,36,,4.78E+24,,경상북도 성주군 대가면 용흥3길 36,719863,40057,,,,128.2368682,35.92274001
MA010120220801018790,샤론의꽃,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,47,경상북도,47113,포항시 북구,47113655,죽도동,4711311600,죽도동,4.71E+18,1,대지,2,482,경상북도 포항시 북구 죽도동 2-482,4.71E+11,경상북도 포항시 북구 죽도시장3길,3,18,4.71E+24,,경상북도 포항시 북구 죽도시장3길 3-18,791818,37740,,,,129.3655683,36.03533004
MA010120220801240492,해피해피포레스트,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,47,경상북도,47130,경주시,47130605,월성동,4713011200,인왕동,4.71E+18,1,대지,813,7,경상북도 경주시 인왕동 813-7,4.71E+11,경상북도 경주시 쪽샘길,6,,4.71E+24,,경상북도 경주시 쪽샘길 6,780150,38164,,1,,129.2183348,35.83617058
