상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220700034250,세컨드가든비,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29200,광산구,29200565,어룡동,2920010700,선암동,2.92001E+18,1,대지,571,,광주광역시 광산구 선암동 571,2.92003E+11,광주광역시 광산구 동곡로,735,,2.92001E+24,선운타워,광주광역시 광산구 동곡로 735,506100,62402,,,,126.7777984,35.14718976
MA010120220800078653,온실도씨,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29200,광산구,29200580,우산동,2920010900,우산동,2.92001E+18,1,대지,1572,7,광주광역시 광산구 우산동 1572-7,2.92003E+11,광주광역시 광산구 월곡산정로,20,59,2.92001E+24,송정농협북부지점,광주광역시 광산구 월곡산정로 20-59,506815,62357,,,,126.8063336,35.16452678
MA010120220800222602,다은이의커피파는꽃집,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29140,서구,29140751,상무1동,2914011800,쌍촌동,2.91401E+18,1,대지,1319,1,광주광역시 서구 쌍촌동 1319-1,2.91403E+11,광주광역시 서구 계수로,54,,2.91401E+24,,광주광역시 서구 계수로 54,502859,61940,,1,,126.8565138,35.16028811
MA010120220800257542,화이트윗치,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29170,북구,29170602,운암2동,2917010900,운암동,2.91701E+18,1,대지,1361,,광주광역시 북구 운암동 1361,2.91705E+11,광주광역시 북구 하남대로769번길,16,,2.91701E+24,,광주광역시 북구 하남대로769번길 16,500859,61263,,,,126.8770206,35.17216352
MA010120220800327042,산빛화원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29200,광산구,29200700,신창동,2920011800,신창동,2.92001E+18,1,대지,507,2,광주광역시 광산구 신창동 507-2,2.92002E+11,광주광역시 광산구 북문대로,423,,2.92001E+24,,광주광역시 광산구 북문대로 423,506838,62286,,,,126.8479014,35.193772
MA010120220800413166,가람꽃집,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29200,광산구,29200540,도산동,2920010200,도산동,2.92001E+18,1,대지,1125,13,광주광역시 광산구 도산동 1125-13,2.92004E+11,광주광역시 광산구 송도로114번길,28,,2.92001E+24,,광주광역시 광산구 송도로114번길 28,506020,62450,,,,126.7880926,35.1258189
MA010120220801049871,빛고을원목분재원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29170,북구,29170685,석곡동,2917012400,장등동,2.91701E+18,1,대지,39,,광주광역시 북구 장등동 39,2.91704E+11,광주광역시 북구 용호길,34,,2.91701E+24,,광주광역시 북구 용호길 34,500510,61046,,,,126.9425605,35.21185391
MA010120220801018432,꽃향기그린,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29200,광산구,29200626,첨단2동,2920011500,월계동,2.92001E+18,1,대지,772,3,광주광역시 광산구 월계동 772-3,2.92003E+11,광주광역시 광산구 월계로,88,,2.92001E+24,,광주광역시 광산구 월계로 88,506822,62265,,,,126.8355104,35.21272025
MA010120220801438916,르트와,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29170,북구,29170590,용봉동,2917010700,용봉동,2.91701E+18,1,대지,1210,3,광주광역시 북구 용봉동 1210-3,2.91704E+11,광주광역시 북구 용주로30번길,77,,2.91701E+24,,광주광역시 북구 용주로30번길 77,500842,61180,,1,,126.9041569,35.18132779
MA010120220802376251,오디너리가든,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29140,서구,29140752,상무2동,2914011800,쌍촌동,2.91401E+18,1,대지,987,42,광주광역시 서구 쌍촌동 987-42,2.91404E+11,광주광역시 서구 쌍촌로65번길,13,,2.91401E+24,,광주광역시 서구 쌍촌로65번길 13,502857,61990,,1,,126.8630281,35.15037169
MA010120220802495505,꽃나라,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29200,광산구,29200565,어룡동,2920011100,박호동,2.92001E+18,1,대지,617,20,광주광역시 광산구 박호동 617-20,2.92003E+11,광주광역시 광산구 박호등임로,43,,2.92001E+24,,광주광역시 광산구 박호등임로 43,506080,62398,,,,126.7380904,35.15876499
MA010120220802665963,나무와선인장,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29140,서구,29140800,서창동,2914013100,마륵동,2.91401E+18,1,대지,167,10,광주광역시 서구 마륵동 167-10,2.91404E+11,광주광역시 서구 마륵벽진길,9,,2.91401E+24,,광주광역시 서구 마륵벽진길 9,502151,61999,,,,126.8455248,35.14406815
MA010120220802793386,만평장례식장근조화환당일빠른배송꽃집,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29200,광산구,29200635,운남동,2920012000,운남동,2.92001E+18,1,대지,527,1,광주광역시 광산구 운남동 527-1,2.92003E+11,광주광역시 광산구 풍영철길로,190,2,2.92001E+24,,광주광역시 광산구 풍영철길로 190-2,506817,62316,,,,126.8254145,35.17292939
MA010120220802919412,공간연출Nanuri,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29200,광산구,29200565,어룡동,2920010700,선암동,2.92001E+18,1,대지,613,,광주광역시 광산구 선암동 613,2.92004E+11,광주광역시 광산구 선운로2번길,63,5,2.92001E+24,,광주광역시 광산구 선운로2번길 63-5,506100,62402,,1,,126.7761544,35.14644762
MA010120220802965948,우리꽃집,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29110,동구,29110570,계림2동,2911010900,계림동,2.91101E+18,1,대지,217,3,광주광역시 동구 계림동 217-3,2.91103E+11,광주광역시 동구 계림로,26,,2.91101E+24,,광주광역시 동구 계림로 26,501800,61415,,,,126.9228443,35.1560941
MA010120220802991831,갤러리아가든,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29110,동구,29110545,동명동,2911010800,동명동,2.91101E+18,1,대지,200,109,광주광역시 동구 동명동 200-109,2.91103E+11,광주광역시 동구 동명로,25,,2.91101E+24,,광주광역시 동구 동명로 25,501815,61430,,,,126.9236169,35.15151568
MA010120220802997229,플로바이나,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29110,동구,29110655,서남동,2911011800,서석동,2.91101E+18,1,대지,436,10,광주광역시 동구 서석동 436-10,2.91102E+11,광주광역시 동구 필문대로,308,,2.91101E+24,,광주광역시 동구 필문대로 308,501825,61467,,,,126.9256207,35.14445025
MA010120220803046793,서화원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29200,광산구,29200637,수완동,2920011900,신가동,2.92001E+18,1,대지,1274,,광주광역시 광산구 신가동 1274,2.92004E+11,광주광역시 광산구 수등로76번길,49,,2.92001E+24,,광주광역시 광산구 수등로76번길 49,506304,62322,,1,,126.8171833,35.1818677
MA010120220803069143,잔디농장,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,29,광주광역시,29170,북구,29170656,문흥1동,2917011200,문흥동,2.91701E+18,1,대지,969,10,광주광역시 북구 문흥동 969-10,2.91704E+11,광주광역시 북구 대천로157번길,51,,2.91701E+24,문흥빌라,광주광역시 북구 대천로157번길 51,500818,61125,,,,126.9210228,35.18978566
