상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220700031941,플로르줄리아피베르디,코리아,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27260,수성구,27260651,지산1동,2726011200,지산동,2.72601E+18,1,대지,991,15,대구광역시 수성구 지산동 991-15,2.72604E+11,대구광역시 수성구 청수로36길,68,,2.72601E+24,,대구광역시 수성구 청수로36길 68,706841,42176,,,,128.6268302,35.8362022
MA010120220800078118,엘리플로르,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27290,달서구,27290555,감삼동,2729011300,감삼동,2.72901E+18,1,대지,287,49,대구광역시 달서구 감삼동 287-49,2.72904E+11,대구광역시 달서구 와룡로28길,63,,2.72901E+24,,대구광역시 달서구 와룡로28길 63,704904,42653,,3,,128.5407878,35.84487004
MA010120220800257277,예띠플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27200,남구,27200550,봉덕3동,2720010200,봉덕동,2.72001E+18,1,대지,1319,20,대구광역시 남구 봉덕동 1319-20,2.72003E+11,대구광역시 남구 효성로,66,,2.72001E+24,,대구광역시 남구 효성로 66,705832,42510,,,,128.5987492,35.83927356
MA010120220800455744,플로레소,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27260,수성구,27260651,지산1동,2726011200,지산동,2.72601E+18,1,대지,1072,,대구광역시 수성구 지산동 1072,2.72604E+11,대구광역시 수성구 무학로33길,7,,2.72601E+24,,대구광역시 수성구 무학로33길 7,706842,42184,,1,,128.6280739,35.83099476
MA010120220800552297,꽃마트루시플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27710,달성군,27710265,현풍읍,2771026522,현풍읍,2.77103E+18,1,대지,497,3,대구광역시 달성군 현풍읍 중리 497-3,2.77103E+11,대구광역시 달성군 현풍읍 테크노상업로,26,,2.77104E+24,테크노타워,대구광역시 달성군 현풍읍 테크노상업로 26,711873,43017,,,,128.4537417,35.6914122
MA010120220800644988,아드망플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27260,수성구,27260520,범어2동,2726010100,범어동,2.72601E+18,1,대지,222,9,대구광역시 수성구 범어동 222-9,2.72603E+11,대구광역시 수성구 동원로,7,,2.72601E+24,,대구광역시 수성구 동원로 7,706823,42031,,,,128.6400273,35.85958759
MA010120220800909166,로메린,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27110,중구,27110640,남산1동,2711015600,남산동,2.71102E+18,1,대지,2108,4,대구광역시 중구 남산동 2108-4,2.71104E+11,대구광역시 중구 중앙대로58길,21,,2.71102E+24,,대구광역시 중구 중앙대로58길 21,700826,41963,,1,,128.5922959,35.85748131
MA010120220801055197,지예로움,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27140,동구,27140580,신천4동,2714010200,신천동,2.71401E+18,1,대지,326,21,대구광역시 동구 신천동 326-21,2.71404E+11,대구광역시 동구 동부로26길,16,,2.71401E+24,동대구역부띠끄시티드라마오피스텔,대구광역시 동구 동부로26길 16,701827,41243,,,,128.6275938,35.87464352
MA010120220801077036,그레이벤치,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27290,달서구,27290601,월성1동,2729012000,월성동,2.72901E+18,1,대지,1140,,대구광역시 달서구 월성동 1140,2.72904E+11,대구광역시 달서구 조암남로16길,28,,2.72901E+24,,대구광역시 달서구 조암남로16길 28,704830,42756,,,,128.5229044,35.82242493
MA010120220801077133,밀러의그리너리,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27260,수성구,27260560,만촌2동,2726010200,만촌동,2.72601E+18,1,대지,956,7,대구광역시 수성구 만촌동 956-7,2.72604E+11,대구광역시 수성구 국채보상로200길,19,27,2.72601E+24,,대구광역시 수성구 국채보상로200길 19-27,706809,42048,,,,128.6413829,35.86520118
MA010120220801165105,그린쥬르,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27110,중구,27110680,대봉1동,2711015700,대봉동,2.71102E+18,1,대지,211,13,대구광역시 중구 대봉동 211-13,2.71104E+11,대구광역시 중구 명덕로65길,18,9,2.71102E+24,,대구광역시 중구 명덕로65길 18-9,700811,41953,,1,,128.6054278,35.85599986
MA010120220801332861,꽃길따라,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27200,남구,27200590,대명4동,2720010300,대명동,2.72001E+18,1,대지,3037,1,대구광역시 남구 대명동 3037-1,2.72003E+11,대구광역시 남구 성당로,176,1,2.72001E+24,,대구광역시 남구 성당로 176-1,705824,42459,,,,128.5711704,35.84940584
MA010120220801861163,꽃으로그린그림,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27720,군위군,27720330,부계면,2772033022,부계면,2.77203E+18,1,대지,508,1,대구광역시 군위군 부계면 가호리 508-1,2.77205E+11,대구광역시 군위군 부계면 가호1길,106,1,4.77203E+24,,대구광역시 군위군 부계면 가호1길 106-1,716831,43164,,,,128.6744658,36.08105778
MA010120220801961145,아르장플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27290,달서구,27290555,감삼동,2729011300,감삼동,2.72901E+18,1,대지,576,4,대구광역시 달서구 감삼동 576-4,2.72904E+11,대구광역시 달서구 달구벌대로304길,30,,2.72901E+24,,대구광역시 달서구 달구벌대로304길 30,704905,42687,,,,128.5324309,35.84829318
MA010120220802165246,그린플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27230,북구,27230526,칠성동,2723010200,칠성동2가,2.72301E+18,1,대지,302,121,대구광역시 북구 칠성동2가 302-121,2.72304E+11,대구광역시 북구 칠성남로30길,25,,2.72301E+24,,대구광역시 북구 칠성남로30길 25,702852,41581,,,,128.5977722,35.87662096
MA010120220802289647,목석원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27140,동구,27140760,공산동,2714013600,미곡동,2.71401E+18,1,대지,600,1,대구광역시 동구 미곡동 600-1,2.71403E+11,대구광역시 동구 팔공로,950,,2.71401E+24,,대구광역시 동구 팔공로 950,701410,41010,,,,128.6828062,35.95447913
MA010120220802606574,아르누보플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27110,중구,27110690,대봉2동,2711015700,대봉동,2.71102E+18,1,대지,733,12,대구광역시 중구 대봉동 733-12,2.71104E+11,대구광역시 중구 명륜로26길,79,3,2.71102E+24,,대구광역시 중구 명륜로26길 79-3,700813,41960,,1,,128.5980452,35.85658492
MA010120220802686584,유니크플라워유니크패밀리,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27260,수성구,27260570,수성1가동,2726010300,수성동1가,2.72601E+18,1,대지,260,10,대구광역시 수성구 수성동1가 260-10,2.72604E+11,대구광역시 수성구 명덕로75길,36,,2.72601E+24,유니크플라워,대구광역시 수성구 명덕로75길 36,706831,42122,,1,,128.6123466,35.85601533
MA010120220802756912,더예술정원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27140,동구,27140620,불로.봉무동,2714010600,불로동,2.71401E+18,1,대지,751,6,대구광역시 동구 불로동 751-6,2.71403E+11,대구광역시 동구 팔공로,39,,2.71401E+24,비닐하우스,대구광역시 동구 팔공로 39,701807,41039,,,,128.6373517,35.90331113
MA010120220802865352,피크닉플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27260,수성구,27260651,지산1동,2726011200,지산동,2.72601E+18,1,대지,954,7,대구광역시 수성구 지산동 954-7,2.72604E+11,대구광역시 수성구 동대구로20길,24,,2.72601E+24,,대구광역시 수성구 동대구로20길 24,706841,42176,,1,,128.6255489,35.83849042
MA010120220802912815,르번,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27290,달서구,27290535,두류1.2동,2729010200,두류동,2.72901E+18,1,대지,104,24,대구광역시 달서구 두류동 104-24,2.72904E+11,대구광역시 달서구 야외음악당로47안길,67,,2.72901E+24,,대구광역시 달서구 야외음악당로47안길 67,704909,42660,,1,,128.5627517,35.85809459
MA010120220802851049,아화플레르,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27260,수성구,27260530,범어3동,2726010100,범어동,2.72601E+18,1,대지,3,6,대구광역시 수성구 범어동 3-6,2.72604E+11,대구광역시 수성구 상록로16길,49,,2.72601E+24,,대구광역시 수성구 상록로16길 49,706816,42012,,1,,128.626076,35.86539136
