상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800173501,꽃날,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,30,대전광역시,30200,유성구,30200570,전민동,3020014100,전민동,3.02001E+18,1,대지,466,3,대전광역시 유성구 전민동 466-3,3.02003E+11,대전광역시 유성구 엑스포로,488,,3.02001E+24,엑스포코아,대전광역시 유성구 엑스포로 488,305812,34049,,1,,127.4057013,36.39998919
MA010120220800532310,로지로지플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,30,대전광역시,30170,서구,30170555,탄방동,3017010600,탄방동,3.01701E+18,1,대지,1238,,대전광역시 서구 탄방동 1238,3.01704E+11,대전광역시 서구 둔산남로180번길,18,,3.01701E+24,,대전광역시 서구 둔산남로180번길 18,302861,35252,,,,127.3972774,36.34810106
MA010120220800831612,플레모FLEMO,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,30,대전광역시,30200,유성구,30200570,전민동,3020014000,문지동,3.02001E+18,1,대지,642,3,대전광역시 유성구 문지동 642-3,3.02005E+11,대전광역시 유성구 문지로316번길,10,,3.02001E+24,,대전광역시 유성구 문지로316번길 10,305812,34050,,1,,127.4074354,36.39479257
MA010120220800926153,마르쿠엘MARKUEL대전,본점,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,30,대전광역시,30200,유성구,30200547,노은2동,3020012100,죽동,3.02001E+18,1,대지,620,11,대전광역시 유성구 죽동 620-11,3.02004E+11,대전광역시 유성구 은구비로155번안길,21,15,3.02001E+24,,대전광역시 유성구 은구비로155번안길 21-15,305328,34097,,,,127.3261612,36.38056034
MA010120220800998342,플라워아뜰리에정온靜穩,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,30,대전광역시,30200,유성구,30200540,온천2동,3020012100,죽동,3.02001E+18,1,대지,697,3,대전광역시 유성구 죽동 697-3,3.02005E+11,대전광역시 유성구 죽동로298번길,58,,3.02001E+24,,대전광역시 유성구 죽동로298번길 58,305328,34127,,,,127.3361666,36.36961941
MA010120220801136124,플로르_e,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,30,대전광역시,30110,동구,30110551,판암1동,3011010700,판암동,3.01101E+18,1,대지,891,,대전광역시 동구 판암동 891,3.01105E+11,대전광역시 동구 동부로10번길,82,,3.01101E+24,,대전광역시 동구 동부로10번길 82,300131,34675,,,,127.4611474,36.31859248
MA010120220801744027,대화화원꽃,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,30,대전광역시,30230,대덕구,30230520,대화동,3023010200,대화동,3.02301E+18,1,대지,35,247,대전광역시 대덕구 대화동 35-247,3.02304E+11,대전광역시 대덕구 동심4길,33,1,3.02301E+24,,대전광역시 대덕구 동심4길 33-1,306801,34374,,,,127.4133653,36.36527692
MA010120220802396438,모네의정원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,30,대전광역시,30200,유성구,30200548,노은3동,3020013900,반석동,3.02001E+18,1,대지,633,1,대전광역시 유성구 반석동 633-1,3.02003E+11,대전광역시 유성구 반석동로,54,,3.02001E+24,,대전광역시 유성구 반석동로 54,305150,34068,,,,127.3118087,36.39218773
MA010120220802475751,도심속작은자연flos,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,30,대전광역시,30200,유성구,30200546,노은1동,3020011900,노은동,3.02001E+18,1,대지,112,12,대전광역시 유성구 노은동 112-12,3.02004E+11,대전광역시 유성구 한밭대로259번길,21,,3.02001E+24,,대전광역시 유성구 한밭대로259번길 21,305325,34099,,,,127.3284701,36.36777538
MA010120220802476109,모네꽃집,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,30,대전광역시,30170,서구,30170575,내동,3017011000,내동,3.01701E+18,1,대지,169,8,대전광역시 서구 내동 169-8,3.01704E+11,대전광역시 서구 동서대로993번길,5,21,3.01701E+24,,대전광역시 서구 동서대로993번길 5-21,302818,35286,,,,127.372482,36.33455513
