상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220700035788,윈썸플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,26,부산광역시,26230,부산진구,26230600,전포1동,2623010200,전포동,2.62301E+18,1,대지,341,17,부산광역시 부산진구 전포동 341-17,2.62304E+11,부산광역시 부산진구 동성로39번길,4,,2.62301E+24,,부산광역시 부산진구 동성로39번길 4,614867,47305,,1,,129.0682165,35.15408156
MA010120220800110089,온실Flowerstudio,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2.62601E+18,1,대지,433,5,부산광역시 동래구 명륜동 433-5,2.62603E+11,부산광역시 동래구 명륜로,101,,2.62601E+24,,부산광역시 동래구 명륜로 101,607804,47738,,1,,129.0831668,35.20290223
MA010120220800110136,멜로라아뜰리에,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,26,부산광역시,26140,서구,26140560,서대신3동,2614010600,서대신동3가,2.61401E+18,1,대지,249,28,부산광역시 서구 서대신동3가 249-28,2.61403E+11,부산광역시 서구 망양로,50,,2.61401E+24,,부산광역시 서구 망양로 50,602825,49226,,1,,129.0145867,35.11463096
MA010120220800110709,팟샵,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,26,부산광역시,26500,수영구,26500790,광안4동,2650010400,광안동,2.65001E+18,1,대지,559,10,부산광역시 수영구 광안동 559-10,2.65004E+11,부산광역시 수영구 수영로607번길,26,,2.65001E+24,,부산광역시 수영구 수영로607번길 26,613809,48254,,1,,129.1122245,35.16035101
MA010120220800109935,승희플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,26,부산광역시,26530,사상구,26530620,괘법동,2653010400,괘법동,2.65301E+18,1,대지,552,2,부산광역시 사상구 괘법동 552-2,2.65304E+11,부산광역시 사상구 사상로162번길,8,,2.65301E+24,,부산광역시 사상구 사상로162번길 8,617807,46975,,,,128.9870497,35.16029778
MA010120220800116281,다육이놀이터,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,26,부산광역시,26410,금정구,26410635,선두구동,2641010100,두구동,2.64101E+18,1,대지,1318,12,부산광역시 금정구 두구동 1318-12,2.64102E+11,부산광역시 금정구 중앙대로,2400,,2.64101E+24,,부산광역시 금정구 중앙대로 2400,609370,46205,,,,129.1030821,35.2968443
MA010120220800155312,행복공간,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,26,부산광역시,26260,동래구,26260750,안락2동,2626010200,안락동,2.62601E+18,1,대지,455,1,부산광역시 동래구 안락동 455-1,2.62603E+11,부산광역시 동래구 명안로,46,,2.62601E+24,진흥상가,부산광역시 동래구 명안로 46,607830,47784,,1,,129.1047865,35.20042852
MA010120220800608560,아틀리에피울,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,26,부산광역시,26500,수영구,26500800,민락동,2650010300,민락동,2.65001E+18,1,대지,336,10,부산광역시 수영구 민락동 336-10,2.65003E+11,부산광역시 수영구 민락수변로,243,,2.65001E+24,,부산광역시 수영구 민락수변로 243,613827,48275,,1,,129.1282555,35.16410748
MA010120220800638785,온니플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,26,부산광역시,26440,강서구,26440535,명지1동,2644010400,명지동,2.64401E+18,1,대지,3432,3,부산광역시 강서구 명지동 3432-3,2.64403E+11,부산광역시 강서구 명지국제6로,107,,2.64401E+24,대방디엠시티,부산광역시 강서구 명지국제6로 107,618200,46726,,1,,128.9108876,35.09294262
MA010120220800775796,어거스트브라운,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,26,부산광역시,26230,부산진구,26230550,초읍동,2623010700,초읍동,2.62301E+18,1,대지,217,9,부산광역시 부산진구 초읍동 217-9,2.62303E+11,부산광역시 부산진구 성지로,89,,2.62301E+24,,부산광역시 부산진구 성지로 89,614873,47126,,1,,129.0531266,35.17841737
