상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800010896,ey,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11350,노원구,11350670,상계5동,1135010500,상계동,1.13501E+18,1,대지,450,,서울특별시 노원구 상계동 450,1.13503E+11,서울특별시 노원구 한글비석로,444,,1.13501E+24,교림노원프라자,서울특별시 노원구 한글비석로 444,139820,1666,,,,127.0684898,37.66360845
MA010120220800027348,숙인,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11110,종로구,11110530,사직동,1111011300,필운동,1.11101E+18,1,대지,84,,서울특별시 종로구 필운동 84,1.11104E+11,서울특별시 종로구 필운대로1길,12,,1.11101E+24,,서울특별시 종로구 필운대로1길 12,110054,3039,,,,126.9688115,37.57757088
MA010120220800013718,그린원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111012400,수송동,1.11101E+18,1,대지,110,,서울특별시 종로구 수송동 110,1.11104E+11,서울특별시 종로구 율곡로2길,25,,1.11101E+24,연합미디어센터빌딩,서울특별시 종로구 율곡로2길 25,110140,3143,,B1,,126.9805179,37.57436586
MA010120220800037973,디파베,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11110,종로구,11110515,청운효자동,1111010400,효자동,1.11101E+18,1,대지,77,24,서울특별시 종로구 효자동 77-24,1.11104E+11,서울특별시 종로구 자하문로24길,29,,1.11101E+24,,서울특별시 종로구 자하문로24길 29,110033,3042,,,,126.9715378,37.58278833
MA010120220800029668,J'DeFloral,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11710,송파구,11710561,방이1동,1171011100,방이동,1.17101E+18,1,대지,185,8,서울특별시 송파구 방이동 185-8,1.17104E+11,서울특별시 송파구 양재대로71길,4,,1.17101E+24,,서울특별시 송파구 양재대로71길 4,138834,5638,,,,127.126316,37.51041004
MA010120220800059797,식물리에,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11620,관악구,11620545,청림동,1162010100,봉천동,1.16201E+18,1,대지,15,28,서울특별시 관악구 봉천동 15-28,1.16204E+11,서울특별시 관악구 관악로30길,13,1,1.16201E+24,,서울특별시 관악구 관악로30길 13-1,151808,8733,,2,,126.9586732,37.48653061
MA010120220800056866,플로라드베일리,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11320,도봉구,11320512,창2동,1132010700,창동,1.13201E+18,1,대지,601,32,서울특별시 도봉구 창동 601-32,1.13203E+11,서울특별시 도봉구 덕릉로,253,,1.13201E+24,,서울특별시 도봉구 덕릉로 253,132919,1469,,1,,127.0393951,37.64029531
MA010120220800063862,한마루주,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111012800,관훈동,1.11101E+18,1,대지,151,4,서울특별시 종로구 관훈동 151-4,1.11103E+11,서울특별시 종로구 우정국로,68,,1.11101E+24,,서울특별시 종로구 우정국로 68,110300,3145,,,,126.9833139,37.57493391
MA010120220800074431,진우프라임조경,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11140,중구,11140520,소공동,1114016600,서소문동,1.11402E+18,1,대지,135,,서울특별시 중구 서소문동 135,1.11404E+11,서울특별시 중구 세종대로9길,41,,1.11402E+24,퍼시픽타워,서울특별시 중구 세종대로9길 41,100737,4513,,1,,126.9729947,37.561354
MA010120220800074412,우리들플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11410,서대문구,11410520,천연동,1141010600,천연동,1.14101E+18,1,대지,59,,서울특별시 서대문구 천연동 59,1.14103E+11,서울특별시 서대문구 통일로,173,46,1.14101E+24,,서울특별시 서대문구 통일로 173-46,120040,3734,,,,126.9624536,37.56895552
MA010120220800102184,플라워바이손,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11680,강남구,11680510,신사동,1168010700,신사동,1.16801E+18,1,대지,551,1,서울특별시 강남구 신사동 551-1,1.16804E+11,서울특별시 강남구 압구정로14길,35,,1.16801E+24,,서울특별시 강남구 압구정로14길 35,135890,6029,,2,,127.0236201,37.5220441
MA010120220800109065,이슬향기플라워대림역지점,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1.15601E+18,1,대지,1050,17,서울특별시 영등포구 대림동 1050-17,1.15603E+11,서울특별시 영등포구 도림로,137,,1.15601E+24,,서울특별시 영등포구 도림로 137,150826,7415,,,,126.8966122,37.4927456
MA010120220800109091,스노우폭스플라워,상암점,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11440,마포구,11440740,상암동,1144012700,상암동,1.14401E+18,1,대지,1605,,서울특별시 마포구 상암동 1605,1.14403E+11,서울특별시 마포구 월드컵북로,396,,1.14401E+24,이호누리꿈스퀘어,서울특별시 마포구 월드컵북로 396,121904,3925,,,,126.8898356,37.57949678
MA010120220800136304,호화수,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11140,중구,11140540,회현동,1114011200,남창동,1.11401E+18,1,대지,49,1,서울특별시 중구 남창동 49-1,1.11404E+11,서울특별시 중구 남대문시장4길,21,,1.11401E+24,,서울특별시 중구 남대문시장4길 21,100804,4529,,3,,126.9776585,37.55918357
