상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800105741,동원조경,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31710,울주군,31710253,언양읍,3171025322,언양읍,3.17103E+18,1,대지,209,2,울산광역시 울주군 언양읍 반천리 209-2,3.17103E+11,울산광역시 울주군 언양읍 대암둔기로,45,,3.17103E+24,,울산광역시 울주군 언양읍 대암둔기로 45,689805,44936,,,,129.1821326,35.55139291
MA010120220800139798,동진플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31110,중구,31110620,병영1동,3111011500,남외동,3.11101E+18,1,대지,274,1,울산광역시 중구 남외동 274-1,3.11103E+11,울산광역시 중구 병영로,19,,3.11101E+24,,울산광역시 중구 병영로 19,681801,44493,,,,129.3458163,35.57115081
MA010120220800413609,꽃집백사장,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31140,남구,31140595,무거동,3114010100,무거동,3.11401E+18,1,대지,1546,5,울산광역시 남구 무거동 1546-5,3.11404E+11,울산광역시 남구 신복로46번길,33,,3.11401E+24,현대시장,울산광역시 남구 신복로46번길 33,680812,44603,,,,129.2579174,35.55187117
MA010120220800630665,오마이플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31140,남구,31140635,수암동,3114010800,야음동,3.11401E+18,1,대지,746,18,울산광역시 남구 야음동 746-18,3.11404E+11,울산광역시 남구 야음로5번길,26,,3.11401E+24,,울산광역시 남구 야음로5번길 26,680841,44755,,1,,129.3213417,35.52251706
MA010120220802396453,시민꽃,백화점,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31110,중구,31110610,다운동,3111011200,다운동,3.11101E+18,1,대지,291,1,울산광역시 중구 다운동 291-1,3.11103E+11,울산광역시 중구 다운로,246,,3.11101E+24,,울산광역시 중구 다운로 246,681802,44402,,,,129.266442,35.57462536
MA010120220802511219,모인플랜트,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31170,동구,31170550,전하1동,3117010400,전하동,3.11701E+18,1,대지,544,254,울산광역시 동구 전하동 544-254,3.11704E+11,울산광역시 동구 녹수8길,15,,3.11701E+24,모인플랜트,울산광역시 동구 녹수8길 15,682814,44039,,,,129.429373,35.51324321
MA010120220802679966,가홈플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31200,북구,31200560,효문동,3120012100,진장동,3.12001E+18,1,대지,705,,울산광역시 북구 진장동 705,3.12004E+11,울산광역시 북구 진장17길,10,,3.12001E+24,,울산광역시 북구 진장17길 10,683360,44250,,1,,129.3564563,35.56241024
MA010120220802851282,예림다육,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31710,울주군,31710259,범서읍,3171025923,범서읍,3.17103E+18,1,대지,634,2,울산광역시 울주군 범서읍 입암리 634-2,3.17104E+11,울산광역시 울주군 범서읍 입암1길,51,,3.17103E+24,,울산광역시 울주군 범서읍 입암1길 51,689853,44926,,,,129.2253668,35.57494048
MA010120220802986897,그날의꽃,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31710,울주군,31710259,범서읍,3171025924,범서읍,3.17103E+18,1,대지,372,1,울산광역시 울주군 범서읍 굴화리 372-1,3.17104E+11,울산광역시 울주군 범서읍 굴화길,37,10,3.17103E+24,,울산광역시 울주군 범서읍 굴화길 37-10,689853,44933,,1,,129.2587877,35.55537806
MA010120220802936045,이목화,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31710,울주군,31710259,범서읍,3171025927,범서읍,3.17103E+18,1,대지,796,2,울산광역시 울주군 범서읍 구영리 796-2,3.17104E+11,울산광역시 울주군 범서읍 점촌4길,77,,3.17103E+24,한신,울산광역시 울주군 범서읍 점촌4길 77,689703,44923,,1,,129.2410866,35.57188282
MA010120220802939869,꽃집,,G2,소매,G219,식물 소매,G21901,꽃집,L68112,비주거용 건물 임대업,31,울산광역시,31200,북구,31200560,효문동,3120012100,진장동,3.12001E+18,1,대지,201,1,울산광역시 북구 진장동 201-1,3.12004E+11,울산광역시 북구 진장1길,12,,3.12001E+24,,울산광역시 북구 진장1길 12,683360,44251,,,,129.358313,35.56932101
MA010120220803064194,그란,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31140,남구,31140560,달동,3114010500,달동,3.11401E+18,1,대지,650,1,울산광역시 남구 달동 650-1,3.11404E+11,울산광역시 남구 중앙로156번길,38,,3.11401E+24,,울산광역시 남구 중앙로156번길 38,680802,44693,,1,,129.318181,35.53601273
MA010120220803117135,내안에너의꽃,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31200,북구,31200570,송정동,3120012500,화봉동,3.12001E+18,1,대지,1008,,울산광역시 북구 화봉동 1008,3.12004E+11,울산광역시 북구 안기번득길,14,2,3.12001E+24,,울산광역시 북구 안기번득길 14-2,683410,44238,,,,129.3577026,35.58686736
MA010120220803290215,프롬피오니,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31140,남구,31140600,옥동,3114010200,옥동,3.11401E+18,1,대지,591,5,울산광역시 남구 옥동 591-5,3.11404E+11,울산광역시 남구 법대로95번길,10,,3.11401E+24,좌측,울산광역시 남구 법대로95번길 10,680845,44645,,1,,129.288796,35.53578133
MA010120220803350726,이온,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31140,남구,31140540,신정4동,3114010400,신정동,3.11401E+18,1,대지,946,4,울산광역시 남구 신정동 946-4,3.11403E+11,울산광역시 남구 신남로,46,,3.11401E+24,,울산광역시 남구 신남로 46,680830,44743,,,,129.3142007,35.52562786
MA010120220803420908,피오랑,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31140,남구,31140595,무거동,3114010100,무거동,3.11401E+18,1,대지,582,9,울산광역시 남구 무거동 582-9,3.11403E+11,울산광역시 남구 대학로,43,,3.11401E+24,,울산광역시 남구 대학로 43,680808,44616,,1,,129.2566522,35.53977543
MA010120220803421018,비엠플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31110,중구,31110555,복산동,3111010300,복산동,3.11101E+18,1,대지,318,3,울산광역시 중구 복산동 318-3,3.11104E+11,울산광역시 중구 손골2길,2,,3.11101E+24,,울산광역시 중구 손골2길 2,681825,44430,,,,129.3274504,35.56531673
MA010120220803411270,바이올렛가든,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31200,북구,31200540,강동동,3120011800,산하동,3.12001E+18,1,대지,976,12,울산광역시 북구 산하동 976-12,3.12003E+11,울산광역시 북구 산하중앙1로,108,,3.12001E+24,,울산광역시 북구 산하중앙1로 108,683260,44264,,1,,129.4393076,35.63376285
MA010120220803697589,수봉꽃조경,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31200,북구,31200510,농소1동,3120010100,창평동,3.12001E+18,1,대지,1026,1,울산광역시 북구 창평동 1026-1,3.12003E+11,울산광역시 북구 산업로,1278,19,3.12001E+24,,울산광역시 북구 산업로 1278-19,683810,44231,,,,129.3548421,35.61685607
MA010120220803863976,썸데이플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31710,울주군,31710253,언양읍,3171025331,언양읍,3.17103E+18,1,대지,169,1,울산광역시 울주군 언양읍 서부리 169-1,3.17104E+11,울산광역시 울주군 언양읍 헌양길,140,,3.17103E+24,,울산광역시 울주군 언양읍 헌양길 140,689806,44942,,,,129.1191588,35.56636651
MA010120220804370367,달빛애,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31140,남구,31140560,달동,3114010500,달동,3.11401E+18,1,대지,1407,2,울산광역시 남구 달동 1407-2,3.11404E+11,울산광역시 남구 중앙로128번길,23,,3.11401E+24,,울산광역시 남구 중앙로128번길 23,680803,44722,,,,129.3176024,35.53352791
MA010120220804312282,본마망,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31710,울주군,31710310,서생면,3171031021,서생면,3.17103E+18,1,대지,327,8,울산광역시 울주군 서생면 신암리 327-8,3.17104E+11,울산광역시 울주군 서생면 신리길,108,,3.17103E+24,,울산광역시 울주군 서생면 신리길 108,689882,45014,,,,129.3210442,35.34575002
MA010120220804555593,가원플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31140,남구,31140530,신정3동,3114010400,신정동,3.11401E+18,1,대지,463,1,울산광역시 남구 신정동 463-1,3.11404E+11,울산광역시 남구 중앙로296번길,7,,3.11401E+24,제일,울산광역시 남구 중앙로296번길 7,680824,44679,,1,,129.310822,35.54770566
MA010120220804607280,아일랜드플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31710,울주군,31710253,언양읍,3171025330,언양읍,3.17103E+18,1,대지,340,4,울산광역시 울주군 언양읍 동부리 340-4,3.17103E+11,울산광역시 울주군 언양읍 읍성로,73,,3.17103E+24,,울산광역시 울주군 언양읍 읍성로 73,689804,44943,,1,,129.1182454,35.56978872
MA010120220804725263,진양유기산업,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31710,울주군,31710253,언양읍,3171025332,언양읍,3.17103E+18,1,대지,121,2,울산광역시 울주군 언양읍 남부리 121-2,3.17102E+11,울산광역시 울주군 언양읍 반구대로,811,2,3.17103E+24,,울산광역시 울주군 언양읍 반구대로 811-2,689802,44946,,,,129.1267049,35.56271028
MA010120220804810047,그린야드,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31110,중구,31110610,다운동,3111011100,태화동,3.11101E+18,1,대지,712,1,울산광역시 중구 태화동 712-1,3.11104E+11,울산광역시 중구 오산2길,96,,3.11101E+24,코너,울산광역시 중구 오산2길 96,681802,44437,,1,,129.2909489,35.5529418
MA010120220804907616,천사플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31170,동구,31170530,화정동,3117010200,화정동,3.11701E+18,1,대지,650,29,울산광역시 동구 화정동 650-29,3.11704E+11,울산광역시 동구 해수욕장1길,54,,3.11701E+24,씨에스오션빌라,울산광역시 동구 해수욕장1길 54,682822,44057,,1,,129.4273975,35.49301854
MA010120220804887028,꽃;마음담다,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31200,북구,31200570,송정동,3120012600,송정동,3.12001E+18,1,대지,1235,4,울산광역시 북구 송정동 1235-4,3.12003E+11,울산광역시 북구 박상진11로,1,,3.12001E+24,인터메디타워,울산광역시 북구 박상진11로 1,683410,44236,,1,,129.3638115,35.60029937
MA010120220804937557,딜라잇플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31200,북구,31200560,효문동,3120012200,연암동,3.12001E+18,1,대지,403,5,울산광역시 북구 연암동 403-5,3.12003E+11,울산광역시 북구 상방로,126,,3.12001E+24,,울산광역시 북구 상방로 126,683805,44243,,1,,129.365831,35.58607727
MA010120220805027794,렝보타닉라운지,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31140,남구,31140560,달동,3114010500,달동,3.11401E+18,1,대지,1408,4,울산광역시 남구 달동 1408-4,3.11404E+11,울산광역시 남구 신정로33번길,21,,3.11401E+24,,울산광역시 남구 신정로33번길 21,680803,44722,,1,,129.31896,35.53397035
MA010120220805128622,행복한꽃,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31200,북구,31200560,효문동,3120012200,연암동,3.12001E+18,1,대지,316,11,울산광역시 북구 연암동 316-11,3.12003E+11,울산광역시 북구 화봉로,186,,3.12001E+24,,울산광역시 북구 화봉로 186,683805,44244,,,,129.3668792,35.58121806
MA010120220805118415,천자만홍,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31200,북구,31200570,송정동,3120012500,화봉동,3.12001E+18,1,대지,1494,2,울산광역시 북구 화봉동 1494-2,3.12005E+11,울산광역시 북구 화산6길,2,,3.12001E+24,센트로M,울산광역시 북구 화산6길 2,683410,44236,,,,129.3675237,35.59710884
