상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800062793,보타닉앤코,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,28,인천광역시,28200,남동구,28200710,논현고잔동,2820011100,고잔동,2.82001E+18,1,대지,256,15,인천광역시 남동구 고잔동 256-15,2.82004E+11,인천광역시 남동구 논현고잔로109번길,70,7,2.82001E+24,대홍공구유통프라자,인천광역시 남동구 논현고잔로109번길 70-7,405816,21686,,1,,126.709012,37.39428527
MA010120220800082315,글로벌조경,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,28,인천광역시,28200,남동구,28200660,남촌도림동,2820010900,도림동,2.82001E+18,1,대지,2,1,인천광역시 남동구 도림동 2-1,2.82003E+11,인천광역시 남동구 소래로,424,,2.82001E+24,,인천광역시 남동구 소래로 424,405280,21621,,,,126.7347991,37.428089
MA010120220800096193,플라워앤솜사탕,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,28,인천광역시,28237,부평구,28237520,부평2동,2823710100,부평동,2.82371E+18,1,대지,756,198,인천광역시 부평구 부평동 756-198,2.82374E+11,인천광역시 부평구 안남로15번길,23,,2.82371E+24,,인천광역시 부평구 안남로15번길 23,403831,21410,,1,,126.7153202,37.48500554
MA010120220800113303,테라글로벌,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,28,인천광역시,28200,남동구,28200710,논현고잔동,2820011100,고잔동,2.82001E+18,1,대지,648,1,인천광역시 남동구 고잔동 648-1,2.82003E+11,인천광역시 남동구 호구포로,189,,2.82001E+24,남동테크노타워,인천광역시 남동구 호구포로 189,405817,21644,,4,,126.7076669,37.40041788
MA010120220800533195,달막공방달막꽃집,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,28,인천광역시,28200,남동구,28200521,구월3동,2820010100,구월동,2.82001E+18,1,대지,1164,16,인천광역시 남동구 구월동 1164-16,2.82003E+11,인천광역시 남동구 성말로,47,,2.82001E+24,이씨빌딩,인천광역시 남동구 성말로 47,405223,21572,,1,,126.7059558,37.44522111
MA010120220800804726,할머니꽃마트,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,28,인천광역시,28237,부평구,28237520,부평2동,2823710100,부평동,2.82371E+18,1,대지,768,376,인천광역시 부평구 부평동 768-376,2.82373E+11,인천광역시 부평구 평온로,61,,2.82371E+24,꽃판매점,인천광역시 부평구 평온로 61,403831,21456,,1,,126.7167619,37.47747659
MA010120220801052437,앨리아,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,28,인천광역시,28260,서구,28260536,청라1동,2826012200,청라동,2.82601E+18,1,대지,133,16,인천광역시 서구 청라동 133-16,2.82604E+11,인천광역시 서구 담지로86번길,16,60,2.82601E+24,,인천광역시 서구 담지로86번길 16-60,,22733,,1,,126.6622139,37.53747505
MA010120220801091859,꽃처럼나무같이,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,28,인천광역시,28110,중구,28110530,신포동,2811012400,신포동,2.81101E+18,1,대지,13,1,인천광역시 중구 신포동 13-1,2.81104E+11,인천광역시 중구 우현로45번길,11,,2.81101E+24,,인천광역시 중구 우현로45번길 11,400080,22322,,,,126.6274796,37.47117409
MA010120220801170022,그린화원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,28,인천광역시,28245,계양구,28245601,효성1동,2824510100,효성동,2.82451E+18,1,대지,234,4,인천광역시 계양구 효성동 234-4,2.82453E+11,인천광역시 계양구 효서로,133,,2.82451E+24,,인천광역시 계양구 효서로 133,407829,21103,,,,126.7106656,37.52798105
MA010120220801134504,플라라,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,28,인천광역시,28140,동구,28140510,만석동,2814010100,만석동,2.81401E+18,1,대지,72,26,인천광역시 동구 만석동 72-26,2.81403E+11,인천광역시 동구 석수로,23,1,2.81401E+24,,인천광역시 동구 석수로 23-1,401010,22508,,1,,126.6272083,37.48028239
