상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800095349,꽃에반하다,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,46,전라남도,46810,강진군,46810250,강진읍,4681025022,강진읍,4.68103E+18,1,대지,18,4,전라남도 강진군 강진읍 남성리 18-4,4.68105E+11,전라남도 강진군 강진읍 영랑로4길,12,1,4.68103E+24,,전라남도 강진군 강진읍 영랑로4길 12-1,527802,59233,,1,,126.7693793,34.6390206
MA010120220800110108,초록향기,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,46,전라남도,46880,장성군,46880250,장성읍,4688025024,장성읍,4.68803E+18,1,대지,1080,4,전라남도 장성군 장성읍 영천리 1080-4,4.68805E+11,전라남도 장성군 장성읍 매화2길,13,,4.68803E+24,,전라남도 장성군 장성읍 매화2길 13,515805,57219,,1,,126.785064,35.30101789
MA010120220800644882,자연모아솔이네다육,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,46,전라남도,46150,순천시,46150620,중앙동,4615012000,남내동,4.61501E+18,1,대지,125,1,전라남도 순천시 남내동 125-1,4.61503E+11,전라남도 순천시 중앙로,104,,4.61501E+24,,전라남도 순천시 중앙로 104,540210,57942,,,,127.4840007,34.9548057
MA010120220800826856,황금다육,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,46,전라남도,46230,광양시,46230350,진월면,4623035023,진월면,4.62304E+18,1,대지,965,2,전라남도 광양시 진월면 마룡리 965-2,4.62303E+11,전라남도 광양시 진월면 백운2로,187,34,4.62304E+24,,전라남도 광양시 진월면 백운2로 187-34,545851,57713,,,,127.7405382,34.98908929
MA010120220801332268,라루나플뢰르,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,46,전라남도,46720,곡성군,46720390,겸면,4672039022,겸면,4.67204E+18,1,대지,535,,전라남도 곡성군 겸면 가정리 535,4.67205E+11,전라남도 곡성군 겸면 가정길,68,,4.67204E+24,,전라남도 곡성군 겸면 가정길 68,516931,57516,,,,127.1570905,35.25999672
MA010120220802073793,초록멍,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,46,전라남도,46110,목포시,46110565,대성동,4611010400,대성동,4.61101E+18,1,대지,89,2,전라남도 목포시 대성동 89-2,4.61103E+11,전라남도 목포시 청호로,35,,4.61101E+24,,전라남도 목포시 청호로 35,530802,58722,,,,126.3838293,34.79705988
MA010120220802476472,생태식물나라,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,46,전라남도,46230,광양시,46230250,광양읍,4623025023,광양읍,4.62303E+18,1,대지,186,5,전라남도 광양시 광양읍 칠성리 186-5,4.62305E+11,전라남도 광양시 광양읍 칠성1길,63,,4.62303E+24,,전라남도 광양시 광양읍 칠성1길 63,545808,57742,,1,,127.5840242,34.97813514
MA010120220802542556,지산,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,46,전라남도,46780,보성군,46780350,복내면,4678035031,복내면,4.67804E+18,1,대지,505,,전라남도 보성군 복내면 장천리 505,4.67803E+11,전라남도 보성군 복내면 송재로,1316,,4.67804E+24,,전라남도 보성군 복내면 송재로 1316,546831,59406,,,,127.1105889,34.85696263
MA010120220802834782,삼성정원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,46,전라남도,46730,구례군,46730370,산동면,4673037029,산동면,4.67304E+18,1,대지,601,3,전라남도 구례군 산동면 내산리 601-3,4.67305E+11,전라남도 구례군 산동면 삼성길,29,2,4.67304E+24,,전라남도 구례군 산동면 삼성길 29-2,542831,57601,,,,127.4438005,35.32102602
MA010120220802981149,플라워,데일리,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,46,전라남도,46150,순천시,46150600,저전동,4615011800,저전동,4.61501E+18,1,대지,5,7,전라남도 순천시 저전동 5-7,4.61503E+11,전라남도 순천시 중앙로,81,1,4.61501E+24,,전라남도 순천시 중앙로 81-1,540180,57957,,,,127.4836941,34.95294107
