상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800077811,에덴화원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,52,전북특별자치도,52111,전주시 완산구,52111713,효자3동,5211114000,효자동1가,5.21111E+18,1,대지,395,2,전북특별자치도 전주시 완산구 효자동1가 395-2,5.21113E+11,전북특별자치도 전주시 완산구 거마평로,171,5,4.51111E+24,,전북특별자치도 전주시 완산구 거마평로 171-5,560856,55056,,,,127.1152218,35.80761254
MA010120220800077737,꽃:담은플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,52,전북특별자치도,52130,군산시,52130690,수송동,5213014100,수송동,5.21301E+18,1,대지,904,,전북특별자치도 군산시 수송동 904,5.21303E+11,전북특별자치도 군산시 축동로,6,,4.51301E+24,동신아파트,전북특별자치도 군산시 축동로 6,573799,54101,,1,,126.7109501,35.9599736
MA010120220800114740,페리도트,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,52,전북특별자치도,52111,전주시 완산구,52111510,중앙동,5211111500,다가동3가,5.21111E+18,1,대지,83,,전북특별자치도 전주시 완산구 다가동3가 83,5.21113E+11,전북특별자치도 전주시 완산구 충경로,4,,4.51111E+24,,전북특별자치도 전주시 완산구 충경로 4,560053,55038,,1,,127.1401094,35.81640044
MA010120220800139893,에덴농장,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,52,전북특별자치도,52740,장수군,52740340,천천면,5274034030,천천면,5.27403E+18,1,대지,1893,5,전북특별자치도 장수군 천천면 연평리 1893-5,5.27403E+11,전북특별자치도 장수군 천천면 천천북로,982,12,4.57403E+24,,전북특별자치도 장수군 천천면 천천북로 982-12,597853,55605,,,,127.5202085,35.80215316
MA010120220800235572,시올리,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,52,전북특별자치도,52113,전주시 덕진구,52113642,송천2동,5211312100,송천동1가,5.21131E+18,1,대지,839,9,전북특별자치도 전주시 덕진구 송천동1가 839-9,5.21133E+11,전북특별자치도 전주시 덕진구 송천로,112,37,4.51131E+24,,전북특별자치도 전주시 덕진구 송천로 112-37,561301,54834,,1,,127.1180811,35.8630912
MA010120220800326740,민들레꽃집,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,52,전북특별자치도,52140,익산시,52140610,모현동,5214011400,모현동1가,5.21401E+18,1,대지,528,4,전북특별자치도 익산시 모현동1가 528-4,5.21405E+11,전북특별자치도 익산시 선화로13길,63,,4.51401E+24,,전북특별자치도 익산시 선화로13길 63,570968,54655,,,,126.9434695,35.95336882
MA010120220800413203,화니피는날,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,52,전북특별자치도,52111,전주시 완산구,52111703,삼천3동,5211113800,삼천동2가,5.21111E+18,1,대지,521,13,전북특별자치도 전주시 완산구 삼천동2가 521-13,5.21115E+11,전북특별자치도 전주시 완산구 계룡산길,104,,4.51111E+24,,전북특별자치도 전주시 완산구 계룡산길 104,560292,55074,,,,127.1041174,35.78519922
MA010120220800525628,그리고꽃,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,52,전북특별자치도,52111,전주시 완산구,52111605,노송동,5211114700,서노송동,5.21111E+18,1,대지,568,107,전북특별자치도 전주시 완산구 서노송동 568-107,5.21113E+11,전북특별자치도 전주시 완산구 노송광장로,44,,4.51111E+24,,전북특별자치도 전주시 완산구 노송광장로 44,560912,54994,,1,,127.1466207,35.82507181
MA010120220800668413,오린플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,52,전북특별자치도,52130,군산시,52130640,흥남동,5213013200,동흥남동,5.21301E+18,1,대지,398,24,전북특별자치도 군산시 동흥남동 398-24,5.21303E+11,전북특별자치도 군산시 팔마로,149,,4.51301E+24,,전북특별자치도 군산시 팔마로 149,573200,54041,,1,,126.7176962,35.97379658
MA010120220800701906,영심이다육,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,52,전북특별자치도,52210,김제시,52210420,금구면,5221042030,금구면,5.22104E+18,1,대지,808,3,전북특별자치도 김제시 금구면 청운리 808-3,5.22103E+11,전북특별자치도 김제시 금구면 황토로,118,,4.52104E+24,,전북특별자치도 김제시 금구면 황토로 118,576942,54340,,,,126.9798414,35.80662961
