상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800110388,원플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110256,구좌읍,5011025626,구좌읍,5.01103E+18,1,대지,403,,제주특별자치도 제주시 구좌읍 월정리 403,5.01105E+11,제주특별자치도 제주시 구좌읍 월정1길,69,2,5.01103E+24,,제주특별자치도 제주시 구좌읍 월정1길 69-2,695975,63358,,,,126.7932732,33.55699353
MA010120220800115235,샤랄라제주,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110570,용담1동,5011010800,용담일동,5.01101E+18,1,대지,135,9,제주특별자치도 제주시 용담일동 135-9,5.01105E+11,제주특별자치도 제주시 서문로4길,13,2,5.01101E+24,,제주특별자치도 제주시 서문로4길 13-2,690819,63154,,,,126.5179035,33.51134646
MA010120220800150797,체리비로드,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110250,한림읍,5011025023,한림읍,5.01103E+18,1,대지,1720,1,제주특별자치도 제주시 한림읍 대림리 1720-1,5.01103E+11,제주특별자치도 제주시 한림읍 한수풀로,96,,5.01103E+24,,제주특별자치도 제주시 한림읍 한수풀로 96,695925,63026,,,,126.2726808,33.42022579
MA010120220800154345,메리엔젤,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110250,한림읍,5011025026,한림읍,5.01103E+18,1,대지,1565,4,제주특별자치도 제주시 한림읍 동명리 1565-4,5.01105E+11,제주특별자치도 제주시 한림읍 동명1길,31,,5.01103E+24,,제주특별자치도 제주시 한림읍 동명1길 31,695926,63013,,,,126.2657883,33.40498442
MA010120220800600278,그라티아,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50130,서귀포시,50130310,안덕면,5013031027,안덕면,5.01303E+18,1,대지,2092,2,제주특별자치도 서귀포시 안덕면 서광리 2092-2,5.01305E+11,제주특별자치도 서귀포시 안덕면 서광남로115번길,12,,5.01303E+24,,제주특별자치도 서귀포시 안덕면 서광남로115번길 12,699924,63521,,,,126.2989803,33.28334316
MA010120220800668100,꽃다비,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110630,아라동,5011013400,오등동,5.01101E+18,1,대지,1365,1,제주특별자치도 제주시 오등동 1365-1,5.01103E+11,제주특별자치도 제주시 아연로,428,,5.01101E+24,,제주특별자치도 제주시 아연로 428,690150,63240,,,,126.5266162,33.4747303
MA010120220800852574,해돋이플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110600,화북동,5011011100,화북일동,5.01101E+18,1,대지,4144,6,제주특별자치도 제주시 화북일동 4144-6,5.01105E+11,제주특별자치도 제주시 동제원길,80,,5.01101E+24,,제주특별자치도 제주시 동제원길 80,690839,63293,,,,126.561172,33.52168626
MA010120220800908296,목화수반,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110520,일도2동,5011010200,일도이동,5.01101E+18,1,대지,993,15,제주특별자치도 제주시 일도이동 993-15,5.01105E+11,제주특별자치도 제주시 동문로14길,5,,5.01101E+24,,제주특별자치도 제주시 동문로14길 5,690834,63265,,1,,126.533318,33.51297426
MA010120220801614600,핀아플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110660,노형동,5011012200,노형동,5.01101E+18,1,대지,2588,6,제주특별자치도 제주시 노형동 2588-6,5.01105E+11,제주특별자치도 제주시 수덕9길,86,,5.01101E+24,,제주특별자치도 제주시 수덕9길 86,690842,63103,,1,,126.4701279,33.48294059
MA010120220801960263,진다육,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110630,아라동,5011013400,오등동,5.01101E+18,1,대지,816,1,제주특별자치도 제주시 오등동 816-1,5.01105E+11,제주특별자치도 제주시 죽성서길,22,12,5.01101E+24,,제주특별자치도 제주시 죽성서길 22-12,690150,63242,,,,126.5319762,33.46029805
MA010120220802519993,데이무드,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110520,일도2동,5011010200,일도이동,5.01101E+18,1,대지,356,7,제주특별자치도 제주시 일도이동 356-7,5.01105E+11,제주특별자치도 제주시 고마로13길,26,1,5.01101E+24,,제주특별자치도 제주시 고마로13길 26-1,690833,63253,,,,126.5421506,33.50962625
MA010120220803006135,썸메르,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50130,서귀포시,50130253,남원읍,5013025327,남원읍,5.01303E+18,1,대지,4196,1,제주특별자치도 서귀포시 남원읍 위미리 4196-1,5.01305E+11,제주특별자치도 서귀포시 남원읍 태위로2번길,28,,5.01303E+24,,제주특별자치도 서귀포시 남원읍 태위로2번길 28,699944,63611,,1,,126.6486685,33.26939652
MA010120220803150424,보림숲,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110630,아라동,5011011700,아라일동,5.01101E+18,1,대지,2347,1,제주특별자치도 제주시 아라일동 2347-1,5.01105E+11,제주특별자치도 제주시 구산동길,7,,5.01101E+24,,제주특별자치도 제주시 구산동길 7,690121,63236,,1,,126.5429695,33.4828249
MA010120220803155847,화연플라워샵,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110259,조천읍,5011025930,조천읍,5.01103E+18,1,대지,896,1,제주특별자치도 제주시 조천읍 선흘리 896-1,5.01103E+11,제주특별자치도 제주시 조천읍 동백로,35,,5.01103E+24,,제주특별자치도 제주시 조천읍 동백로 35,695967,63340,,,,126.710953,33.5098015
MA010120220803277006,부산분재,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,50,제주특별자치도,50110,제주시,50110630,아라동,5011013400,오등동,5.01101E+18,1,대지,1625,4,제주특별자치도 제주시 오등동 1625-4,5.01105E+11,제주특별자치도 제주시 오등1길,89,,5.01101E+24,,제주특별자치도 제주시 오등1길 89,690150,63240,,,,126.5169075,33.47363797
