상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220700010906,서산아미농원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44210,서산시,44210310,인지면,4421031025,인지면,4.42103E+18,1,대지,50,4,충청남도 서산시 인지면 애정리 50-4,4.42105E+11,충청남도 서산시 인지면 관청터길,60,2,4.42103E+24,,충청남도 서산시 인지면 관청터길 60-2,356882,32016,,,,126.4188589,36.72840395
MA010120220800087974,왕지농원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44800,홍성군,44800330,홍동면,4480033030,홍동면,4.48003E+18,1,대지,191,,충청남도 홍성군 홍동면 수란리 191,4.48005E+11,충청남도 홍성군 홍동면 광금북로114번길,245,,4.48003E+24,,충청남도 홍성군 홍동면 광금북로114번길 245,350814,32283,,,,126.7409276,36.58236787
MA010120220801315695,온아한꽃,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44133,천안시 서북구,44133590,부성2동,4413310500,성성동,4.41331E+18,1,대지,937,,충청남도 천안시 서북구 성성동 937,4.41333E+11,충청남도 천안시 서북구 성성6로,48,50,4.41331E+24,,충청남도 천안시 서북구 성성6로 48-50,331300,31078,,,,127.1251172,36.84125183
MA010120220801539433,플로레스,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44210,서산시,44210550,석남동,4421010900,예천동,4.42101E+18,1,대지,103,6,충청남도 서산시 예천동 103-6,4.42103E+11,충청남도 서산시 예천1로,24,,4.42101E+24,JS빌딩,충청남도 서산시 예천1로 24,356807,31998,,1,,126.4470796,36.76910631
MA010120220802274132,가덕원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44230,논산시,44230350,부적면,4423035032,부적면,4.42304E+18,1,대지,667,10,충청남도 논산시 부적면 아호리 667-10,4.42303E+11,충청남도 논산시 부적면 부적로,126,,4.42304E+24,,충청남도 논산시 부적면 부적로 126,320863,32917,,,,127.1301879,36.2034545
MA010120220802414209,다니엘조경,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44200,아산시,44200410,신창면,4420041021,신창면,4.42004E+18,1,대지,636,8,충청남도 아산시 신창면 오목리 636-8,4.42003E+11,충청남도 아산시 신창면 서부남로,648,,4.42004E+24,,충청남도 아산시 신창면 서부남로 648,336885,31535,,,,126.9280458,36.7940507
MA010120220802687708,마리플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44210,서산시,44210550,석남동,4421010900,예천동,4.42101E+18,1,대지,381,8,충청남도 서산시 예천동 381-8,4.42103E+11,충청남도 서산시 동서1로,221,,4.42101E+24,,충청남도 서산시 동서1로 221,356807,32005,,,,126.4464313,36.76736416
MA010120220802791709,초록에서법인,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44270,당진시,44270530,당진3동,4427010400,원당동,4.42701E+18,1,대지,446,6,충청남도 당진시 원당동 446-6,4.42703E+11,충청남도 당진시 구봉로,12,40,4.42701E+24,,충청남도 당진시 구봉로 12-40,343090,31767,,,,126.6479531,36.90813538
MA010120220802915270,플라워데얼비,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44825,태안군,44825250,태안읍,4482525022,태안읍,4.48253E+18,1,대지,724,10,충청남도 태안군 태안읍 남문리 724-10,4.48255E+11,충청남도 태안군 태안읍 군청12길,7,,4.48253E+24,,충청남도 태안군 태안읍 군청12길 7,357901,32144,,1,,126.3013629,36.74419937
MA010120220802958151,고운꽃,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44200,아산시,44200253,배방읍,4420025331,배방읍,4.42003E+18,1,대지,1767,,충청남도 아산시 배방읍 장재리 1767,4.42003E+11,충청남도 아산시 배방읍 광장로,210,,4.42003E+24,요진와이시티,충청남도 아산시 배방읍 광장로 210,336747,31471,,1,,127.109247,36.79738344
MA010120220802936149,가야플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44230,논산시,44230510,취암동,4423010500,취암동,4.42301E+18,1,대지,1045,1,충청남도 논산시 취암동 1045-1,4.42303E+11,충청남도 논산시 계백로,1000,,4.42301E+24,,충청남도 논산시 계백로 1000,320802,32974,,,,127.0883223,36.20304212
MA010120220803017962,바이에이치,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44200,아산시,44200330,탕정면,4420033025,탕정면,4.42003E+18,1,대지,254,,충청남도 아산시 탕정면 매곡리 254,4.42003E+11,충청남도 아산시 탕정면 선문로,136,,4.42003E+24,,충청남도 아산시 탕정면 선문로 136,336843,31465,,,,127.0857088,36.7901758
MA010120220803010480,금강송림조경,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44150,공주시,44150550,금학동,4415012400,검상동,4.41501E+18,1,대지,100,,충청남도 공주시 검상동 100,4.41505E+11,충청남도 공주시 윗나루길,68,,4.41501E+24,,충청남도 공주시 윗나루길 68,314080,32598,,,,127.0705097,36.43888508
MA010120220803125157,메종드화,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44200,아산시,44200253,배방읍,4420025325,배방읍,4.42003E+18,1,대지,1860,,충청남도 아산시 배방읍 북수리 1860,4.42005E+11,충청남도 아산시 배방읍 월천6길,54,12,4.42003E+24,,충청남도 아산시 배방읍 월천6길 54-12,336851,31494,,1,,127.0784616,36.76980658
MA010120220803107451,영심이flower,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44210,서산시,44210510,부춘동,4421010100,읍내동,4.42101E+18,1,대지,501,3,충청남도 서산시 읍내동 501-3,4.42103E+11,충청남도 서산시 문화로,40,,4.42101E+24,,충청남도 서산시 문화로 40,356837,31974,,2,,126.448982,36.7850016
MA010120220803175282,하하꽃,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44131,천안시 동남구,44131530,원성1동,4413110700,원성동,4.41311E+18,1,대지,133,31,충청남도 천안시 동남구 원성동 133-31,4.41313E+11,충청남도 천안시 동남구 버들로,99,4,4.41311E+24,,충청남도 천안시 동남구 버들로 99-4,330951,31127,,1,,127.157413,36.80662892
MA010120220803296562,꽃라임,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44200,아산시,44200253,배방읍,4420025325,배방읍,4.42003E+18,1,대지,1221,,충청남도 아산시 배방읍 북수리 1221,4.42003E+11,충청남도 아산시 배방읍 배방로,219,17,4.42003E+24,,충청남도 아산시 배방읍 배방로 219-17,336851,31492,,1,,127.0702085,36.77182123
MA010120220803300635,어써플라워스튜디오,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44200,아산시,44200330,탕정면,4420033025,탕정면,4.42003E+18,1,대지,1387,,충청남도 아산시 탕정면 매곡리 1387,4.42003E+11,충청남도 아산시 탕정면 한들물빛5로,36,,4.42003E+24,한들물빛도시지웰시티센트럴푸르지오3단지,충청남도 아산시 탕정면 한들물빛5로 36,336843,31465,,2,,127.0868579,36.78584061
MA010120220803300011,행복한정원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44200,아산시,44200610,온양5동,4420010600,신인동,4.42001E+18,1,대지,231,,충청남도 아산시 신인동 231,4.42005E+11,충청남도 아산시 신인길,2,10,4.42001E+24,,충청남도 아산시 신인길 2-10,336140,31559,,,,126.9820044,36.75224125
MA010120220803314824,대치농원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44790,청양군,44790320,대치면,4479032021,대치면,4.47903E+18,1,대지,40,,충청남도 청양군 대치면 주정리 40,4.47903E+11,충청남도 청양군 대치면 주전로,252,78,4.47903E+24,,충청남도 청양군 대치면 주전로 252-78,345892,33345,,,,126.8434181,36.45757449
MA010120220803387249,사계절꽃&다육아트,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44131,천안시 동남구,44131540,원성2동,4413110700,원성동,4.41311E+18,1,대지,556,11,충청남도 천안시 동남구 원성동 556-11,4.41315E+11,충청남도 천안시 동남구 원거리11길,28,,4.41311E+24,,충청남도 천안시 동남구 원거리11길 28,330954,31186,,,,127.1560911,36.80134114
MA010120220803332945,나인즈,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44800,홍성군,44800256,홍북읍,4480025625,홍북읍,4.48003E+18,1,대지,588,,충청남도 홍성군 홍북읍 신경리 588,4.48005E+11,충청남도 홍성군 홍북읍 청사로150번길,20,,4.48003E+24,광명헤세드,충청남도 홍성군 홍북읍 청사로150번길 20,350831,32256,,,,126.6807627,36.65703425
MA010120220803511489,화가의정원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44825,태안군,44825250,태안읍,4482525022,태안읍,4.48253E+18,1,대지,502,8,충청남도 태안군 태안읍 남문리 502-8,4.48253E+11,충청남도 태안군 태안읍 중앙로,24,,4.48253E+24,,충청남도 태안군 태안읍 중앙로 24,357901,32142,,,,126.2924537,36.75601423
MA010120220803538491,월산,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44150,공주시,44150550,금학동,4415011000,금학동,4.41501E+18,1,대지,59,3,충청남도 공주시 금학동 59-3,4.41503E+11,충청남도 공주시 우금티로,605,,4.41501E+24,,충청남도 공주시 우금티로 605,314080,32603,,,,127.1278325,36.44331626
MA010120220803826488,새순,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44133,천안시 서북구,44133567,불당2동,4413310800,불당동,4.41331E+18,1,대지,1792,,충청남도 천안시 서북구 불당동 1792,4.41335E+11,충청남도 천안시 서북구 불당30길,28,1,4.41331E+24,,충청남도 천안시 서북구 불당30길 28-1,331230,31156,,,,127.1039862,36.80968833
MA010120220804151573,늘푸른정원;홍주꽃차갤러리,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44800,홍성군,44800330,홍동면,4480033029,홍동면,4.48003E+18,1,대지,216,,충청남도 홍성군 홍동면 신기리 216,4.48005E+11,충청남도 홍성군 홍동면 충절로501번길,29,93,4.48003E+24,,충청남도 홍성군 홍동면 충절로501번길 29-93,350814,32283,,,,126.7159834,36.56837036
MA010120220804126209,수림,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44131,천안시 동남구,44131580,청룡동,4413111100,청당동,4.41311E+18,1,대지,436,,충청남도 천안시 동남구 청당동 436,4.41313E+11,충청남도 천안시 동남구 풍세로,770,,4.41311E+24,청당마을신도브래뉴아파트,충청남도 천안시 동남구 풍세로 770,330849,31202,,5,,127.1418769,36.77994849
MA010120220804286069,스쿠터꽃,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44200,아산시,44200330,탕정면,4420033024,탕정면,4.42003E+18,1,대지,463,,충청남도 아산시 탕정면 호산리 463,4.42005E+11,충청남도 아산시 탕정면 탕정면로213번길,7,5,4.42003E+24,,충청남도 아산시 탕정면 탕정면로213번길 7-5,336843,31457,,,,127.0743219,36.80926903
MA010120220804545399,플라워부티크,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44200,아산시,44200410,신창면,4420041022,신창면,4.42004E+18,1,대지,243,1,충청남도 아산시 신창면 읍내리 243-1,4.42003E+11,충청남도 아산시 신창면 온천대로,847,,4.42004E+24,,충청남도 아산시 신창면 온천대로 847,336885,31536,,,,126.93551,36.77812327
MA010120220804819838,로즈마리플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44825,태안군,44825250,태안읍,4482525033,태안읍,4.48253E+18,1,대지,256,13,충청남도 태안군 태안읍 삭선리 256-13,4.48253E+11,충청남도 태안군 태안읍 원이로,376,,4.48253E+24,,충청남도 태안군 태안읍 원이로 376,357907,32134,,,,126.2721023,36.78719555
MA010120220804928337,산마리노,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44250,계룡시,44250510,금암동,4425010100,금암동,4.42501E+18,1,대지,162,5,충청남도 계룡시 금암동 162-5,4.42503E+11,충청남도 계룡시 서금암로,11,,4.42501E+24,,충청남도 계룡시 서금암로 11,321900,32826,,,,127.2521262,36.27314744
MA010120220804979836,영인플라워스튜디오,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44133,천안시 서북구,44133567,불당2동,4413310800,불당동,4.41331E+18,1,대지,1647,,충청남도 천안시 서북구 불당동 1647,4.41335E+11,충청남도 천안시 서북구 불당31길,40,,4.41331E+24,,충청남도 천안시 서북구 불당31길 40,331230,31156,,,,127.1052984,36.81048016
MA010120220805019757,송지플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44200,아산시,44200253,배방읍,4420025331,배방읍,4.42003E+18,1,대지,1490,,충청남도 아산시 배방읍 장재리 1490,4.42005E+11,충청남도 아산시 배방읍 설화고길,10,3,4.42003E+24,,충청남도 아산시 배방읍 설화고길 10-3,336857,31467,,,,127.0920939,36.78926992
