상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220700006838,증평꽃화원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,43,충청북도,43745,증평군,43745250,증평읍,4374525022,증평읍,4.37453E+18,1,대지,186,,충청북도 증평군 증평읍 교동리 186,4.37453E+11,충청북도 증평군 증평읍 삼일로,90,,4.37453E+24,,충청북도 증평군 증평읍 삼일로 90,368901,27935,,1,,127.5867559,36.78363222
MA010120220800049230,플라타너스,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,43,충청북도,43113,청주시 흥덕구,43113756,봉명2.송정동,4311311500,봉명동,4.31131E+18,1,대지,1665,,충청북도 청주시 흥덕구 봉명동 1665,4.31135E+11,충청북도 청주시 흥덕구 직지대로581번길,14,,4.31131E+24,,충청북도 청주시 흥덕구 직지대로581번길 14,361819,28452,,1,,127.4577791,36.64397559
MA010120220800054833,푸른,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,43,충청북도,43130,충주시,43130630,연수동,4313011800,연수동,4.31301E+18,1,대지,796,127,충청북도 충주시 연수동 796-127,4.31303E+11,충청북도 충주시 금곡로,77,,4.31301E+24,레몬하우스,충청북도 충주시 금곡로 77,380963,27343,,,,127.9396749,36.99093764
MA010120220800078132,가가꽃농원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,43,충청북도,43114,청주시 청원구,43114550,오근장동,4311410800,정하동,4.31141E+18,1,대지,84,5,충청북도 청주시 청원구 정하동 84-5,4.31143E+11,충청북도 청주시 청원구 토성로,136,,4.31141E+24,,충청북도 청주시 청원구 토성로 136,363225,28353,,,,127.4632218,36.6789092
MA010120220800110844,플레르안,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,43,충청북도,43112,청주시 서원구,43112590,성화.개신.죽림동,4311210900,개신동,4.31121E+18,1,대지,2,35,충청북도 청주시 서원구 개신동 2-35,4.31125E+11,충청북도 청주시 서원구 모충로25번길,11,,4.31131E+24,,충청북도 청주시 서원구 모충로25번길 11,362804,28666,,,,127.4664123,36.62548698
MA010120220800380638,플라워룸,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,43,충청북도,43114,청주시 청원구,43114253,오창읍,4311425332,오창읍,4.31143E+18,1,대지,541,,충청북도 청주시 청원구 오창읍 주성리 541,4.31143E+11,충청북도 청주시 청원구 오창읍 2산단로,184,,4.31143E+24,,충청북도 청주시 청원구 오창읍 2산단로 184,363889,28117,,1,,127.4547691,36.73675755
MA010120220800475631,내수상회,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,43,충청북도,43111,청주시 상당구,43111545,성안동,4311111100,석교동,4.31111E+18,1,대지,69,7,충청북도 청주시 상당구 석교동 69-7,4.31113E+11,충청북도 청주시 상당구 성안로,104,1,4.31111E+24,,충청북도 청주시 상당구 성안로 104-1,360060,28534,,,,127.4894889,36.62750305
MA010120220800524366,꽃마꽃방,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,43,충청북도,43130,충주시,43130360,노은면,4313036027,노은면,4.31304E+18,1,대지,610,2,충청북도 충주시 노은면 신효리 610-2,4.31303E+11,충청북도 충주시 노은면 솔고개로,737,4,4.31304E+24,나,충청북도 충주시 노은면 솔고개로 737-4,380913,27453,,,,127.7738048,37.03018651
MA010120220800634646,유진화원중원야생화농원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,43,충청북도,43130,충주시,43130370,앙성면,4313037029,앙성면,4.31304E+18,1,대지,653,,충청북도 충주시 앙성면 본평리 653,4.31305E+11,충청북도 충주시 앙성면 와평2길,9,,4.31304E+24,,충청북도 충주시 앙성면 와평2길 9,380862,27304,,,,127.7255374,37.10719802
MA010120220800667948,뜨렌비,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,43,충청북도,43111,청주시 상당구,43111320,미원면,4311132021,미원면,4.31113E+18,1,대지,95,1,충청북도 청주시 상당구 미원면 미원리 95-1,4.31115E+11,충청북도 청주시 상당구 미원면 수목원길,41,9,4.37103E+24,,충청북도 청주시 상당구 미원면 수목원길 41-9,360874,28199,,,,127.6629699,36.62627655
